Exit stations,Entry stations->,,WEEKDAY,,,Feb 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,
24, 	166 , 	176 , 	65 , 	97 , 	299 , 	147 , 	246 , 	336 , 	306 , 	154 , 	225 , 	119 , 	91 , 	78 , 	60 , 	47 , 	31 , 	55 , 	68 , 	63 , 	65 , 	28 , 	26 , 	108 , 	237 ," 	1,661 "," 	2,239 "," 	2,190 "," 	1,247 ", 	292 , 	38 , 	270 , 	797 , 	328 , 	156 , 	30 , 	85 , 	39 , 	133 , 	140 , 	147 , 	165 , 	260 , 	36 , 	22 , 	-   ," 	13,568 ",,,,,,,,,
GP, 	36 , 	62 , 	20 , 	22 , 	124 , 	36 , 	68 , 	153 , 	176 , 	54 , 	62 , 	46 , 	30 , 	29 , 	21 , 	11 , 	9 , 	29 , 	33 , 	32 , 	37 , 	9 , 	11 , 	36 , 	52 ," 	1,185 "," 	1,529 "," 	1,367 ", 	765 , 	363 , 	291 , 	25 , 	147 , 	84 , 	65 , 	9 , 	40 , 	9 , 	40 , 	70 , 	80 , 	100 , 	160 , 	18 , 	12 , 	-   ," 	7,555 ",,,,,,,,,
BP, 	77 , 	108 , 	41 , 	39 , 	125 , 	53 , 	90 , 	135 , 	162 , 	89 , 	109 , 	82 , 	69 , 	59 , 	42 , 	27 , 	26 , 	41 , 	46 , 	42 , 	37 , 	18 , 	14 , 	47 , 	99 ," 	1,478 "," 	2,016 "," 	2,890 "," 	1,427 ", 	758 , 	803 , 	149 , 	66 , 	140 , 	121 , 	21 , 	65 , 	27 , 	61 , 	114 , 	136 , 	103 , 	192 , 	25 , 	7 , 	-   ," 	12,274 ",,,,,,,,,
DC, 	107 , 	181 , 	67 , 	58 , 	149 , 	57 , 	114 , 	176 , 	207 , 	156 , 	167 , 	131 , 	127 , 	109 , 	77 , 	65 , 	88 , 	111 , 	127 , 	112 , 	87 , 	23 , 	25 , 	55 , 	86 ," 	1,458 "," 	1,895 "," 	1,662 ", 	847 , 	341 , 	340 , 	80 , 	146 , 	30 , 	48 , 	40 , 	134 , 	80 , 	163 , 	104 , 	170 , 	175 , 	330 , 	57 , 	13 , 	-   ," 	10,770 ",,,,,,,,,
CM, 	19 , 	28 , 	9 , 	7 , 	37 , 	12 , 	26 , 	76 , 	129 , 	14 , 	11 , 	15 , 	10 , 	11 , 	8 , 	5 , 	4 , 	8 , 	23 , 	15 , 	22 , 	4 , 	4 , 	6 , 	15 , 	931 ," 	1,119 ", 	803 , 	549 , 	172 , 	153 , 	65 , 	112 , 	44 , 	13 , 	3 , 	20 , 	8 , 	28 , 	26 , 	63 , 	122 , 	112 , 	6 , 	2 , 	-   ," 	4,868 ",,,,,,,,,
CV, 	5 , 	9 , 	4 , 	8 , 	60 , 	11 , 	30 , 	80 , 	111 , 	127 , 	56 , 	48 , 	46 , 	82 , 	28 , 	17 , 	19 , 	40 , 	10 , 	4 , 	5 , 	1 , 	3 , 	8 , 	11 , 	576 , 	581 , 	340 , 	280 , 	70 , 	34 , 	10 , 	19 , 	38 , 	3 , 	10 , 	118 , 	1 , 	7 , 	7 , 	8 , 	20 , 	5 , 	82 , 	9 , 	-   ," 	3,038 ",,,,,,,,,
ED, 	13 , 	34 , 	26 , 	22 , 	124 , 	26 , 	73 , 	205 , 	229 , 	211 , 	131 , 	106 , 	102 , 	217 , 	72 , 	36 , 	66 , 	119 , 	11 , 	7 , 	8 , 	2 , 	3 , 	12 , 	26 ," 	1,956 "," 	1,698 ", 	804 , 	666 , 	170 , 	87 , 	47 , 	67 , 	135 , 	22 , 	127 , 	47 , 	2 , 	11 , 	31 , 	14 , 	111 , 	22 , 	43 , 	73 , 	-   ," 	8,012 ",,,,,,,,,
NC, 	8 , 	8 , 	3 , 	4 , 	45 , 	9 , 	57 , 	161 , 	172 , 	21 , 	12 , 	14 , 	8 , 	8 , 	12 , 	3 , 	3 , 	11 , 	57 , 	36 , 	58 , 	14 , 	5 , 	22 , 	6 , 	523 , 	528 , 	316 , 	273 , 	75 , 	40 , 	11 , 	24 , 	77 , 	8 , 	1 , 	3 , 	13 , 	56 , 	12 , 	17 , 	50 , 	10 , 	2 , 	12 , 	-   ," 	2,804 ",,,,,,,,,
WP, 	41 , 	41 , 	16 , 	20 , 	119 , 	30 , 	264 , 	272 , 	375 , 	52 , 	57 , 	88 , 	47 , 	29 , 	61 , 	18 , 	18 , 	44 , 	383 , 	144 , 	229 , 	41 , 	24 , 	71 , 	42 , 	797 , 	791 , 	731 , 	679 , 	197 , 	152 , 	53 , 	76 , 	159 , 	31 , 	7 , 	12 , 	64 , 	32 , 	52 , 	49 , 	127 , 	33 , 	8 , 	27 , 	-   ," 	6,604 ",,,,,,,,,
SS, 	19 , 	44 , 	24 , 	23 , 	45 , 	18 , 	40 , 	86 , 	89 , 	17 , 	23 , 	23 , 	24 , 	16 , 	8 , 	7 , 	7 , 	10 , 	32 , 	37 , 	26 , 	11 , 	13 , 	15 , 	23 , 	702 , 	861 , 	580 , 	417 , 	149 , 	134 , 	82 , 	113 , 	110 , 	21 , 	5 , 	33 , 	13 , 	51 , 	17 , 	37 , 	47 , 	77 , 	12 , 	2 , 	-   ," 	4,144 ",,,,,,,,,
SB, 	27 , 	59 , 	14 , 	14 , 	50 , 	22 , 	48 , 	70 , 	97 , 	25 , 	32 , 	35 , 	20 , 	19 , 	14 , 	7 , 	8 , 	14 , 	26 , 	38 , 	19 , 	11 , 	6 , 	18 , 	33 , 	700 , 	817 , 	549 , 	427 , 	140 , 	163 , 	84 , 	156 , 	189 , 	67 , 	7 , 	16 , 	17 , 	46 , 	39 , 	15 , 	59 , 	68 , 	5 , 	3 , 	-   ," 	4,291 ",,,,,,,,,
SO, 	47 , 	108 , 	63 , 	80 , 	161 , 	62 , 	111 , 	90 , 	115 , 	36 , 	66 , 	29 , 	36 , 	26 , 	22 , 	11 , 	26 , 	43 , 	110 , 	149 , 	164 , 	82 , 	68 , 	126 , 	99 , 	425 , 	465 , 	972 , 	415 , 	176 , 	154 , 	93 , 	106 , 	183 , 	117 , 	21 , 	103 , 	56 , 	126 , 	47 , 	55 , 	28 , 	321 , 	32 , 	17 , 	-   ," 	5,842 ",,,,,,,,,
MB, 	35 , 	71 , 	34 , 	40 , 	181 , 	48 , 	65 , 	139 , 	157 , 	28 , 	32 , 	18 , 	14 , 	10 , 	10 , 	8 , 	4 , 	6 , 	29 , 	25 , 	29 , 	15 , 	8 , 	23 , 	44 ," 	1,285 "," 	1,531 ", 	880 , 	628 , 	247 , 	243 , 	165 , 	210 , 	336 , 	108 , 	6 , 	18 , 	11 , 	28 , 	85 , 	53 , 	312 , 	48 , 	5 , 	7 , 	-   ," 	7,275 ",,,,,,,,,
WD, 	6 , 	19 , 	9 , 	8 , 	68 , 	12 , 	28 , 	97 , 	132 , 	84 , 	61 , 	48 , 	56 , 	110 , 	41 , 	18 , 	33 , 	42 , 	8 , 	4 , 	3 , 	2 , 	2 , 	6 , 	11 , 	879 , 	798 , 	394 , 	302 , 	70 , 	37 , 	21 , 	28 , 	62 , 	6 , 	102 , 	48 , 	1 , 	8 , 	12 , 	5 , 	36 , 	6 , 	15 , 	33 , 	-   ," 	3,770 ",,,,,,,,,
OA, 	10 , 	31 , 	26 , 	36 , 	91 , 	30 , 	33 , 	44 , 	58 , 	22 , 	12 , 	35 , 	9 , 	7 , 	13 , 	6 , 	17 , 	33 , 	24 , 	42 , 	40 , 	22 , 	12 , 	19 , 	9 , 	148 , 	116 , 	100 , 	71 , 	23 , 	21 , 	11 , 	8 , 	11 , 	2 , 	10 , 	65 , 	11 , 	24 , 	2 , 	3 , 	19 , 	6 , 	30 , 	8 , 	-   ," 	1,368 ",,,,,,,,,
WS, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,,,,,,,,,
Entries," 	4,710 "," 	9,201 "," 	5,290 "," 	4,846 "," 	13,633 "," 	6,070 "," 	9,723 "," 	13,589 "," 	14,747 "," 	7,829 "," 	8,949 "," 	5,755 "," 	6,206 "," 	6,313 "," 	5,592 "," 	3,376 "," 	5,321 "," 	9,585 "," 	6,517 "," 	7,934 "," 	7,087 "," 	3,723 "," 	3,069 "," 	5,810 "," 	7,839 "," 	43,134 "," 	46,076 "," 	34,612 "," 	26,838 "," 	13,636 "," 	14,074 "," 	8,032 "," 	13,343 "," 	10,918 "," 	5,006 "," 	3,135 "," 	8,215 "," 	2,968 "," 	6,592 "," 	4,303 "," 	4,182 "," 	6,074 "," 	7,724 "," 	3,640 "," 	1,437 ", 	-   ," 	446,650 ",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
