Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Jul 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
OR, 	2 , 	2 , 	4 , 	5 , 	17 , 	3 , 	9 , 	7 , 	14 , 	2 , 	13 , 	38 , 	0 , 	1 , 	2 , 	0 , 	3 , 	7 , 	20 , 	8 , 	13 , 	4 , 	4 , 	25 , 	2 , 	147 , 	56 , 	110 , 	60 , 	9 , 	7 , 	8 , 	2 , 	6 , 	7 , 	0 , 	1 , 	4 , 	7 , 	625 ,,,FT/ED line," 	12,565 "," 	3,464 "," 	2,886 "," 	3,821 "," 	2,063 "," 	7,795 "," 	97,023 "
RR, 	21 , 	15 , 	16 , 	17 , 	20 , 	6 , 	9 , 	16 , 	40 , 	14 , 	24 , 	72 , 	9 , 	8 , 	3 , 	2 , 	3 , 	14 , 	33 , 	21 , 	31 , 	17 , 	18 , 	5 , 	6 , 	247 , 	158 , 	345 , 	195 , 	47 , 	35 , 	14 , 	5 , 	16 , 	19 , 	3 , 	8 , 	4 , 	11 ," 	1,544 ",,,,,,,,,,
OW, 	16 , 	13 , 	5 , 	5 , 	27 , 	22 , 	27 , 	11 , 	28 , 	19 , 	51 , 	45 , 	10 , 	16 , 	5 , 	1 , 	3 , 	7 , 	6 , 	2 , 	3 , 	1 , 	1 , 	7 , 	4 , 	194 , 	112 , 	327 , 	119 , 	46 , 	45 , 	15 , 	13 , 	7 , 	7 , 	2 , 	11 , 	0 , 	11 ," 	1,243 ",,,,,,,,,,
EM, 	63 , 	193 , 	120 , 	144 , 	375 , 	120 , 	193 , 	123 , 	220 , 	121 , 	165 , 	360 , 	123 , 	123 , 	75 , 	67 , 	107 , 	245 , 	164 , 	229 , 	279 , 	173 , 	163 , 	253 , 	215 , 	43 , 	25 , 	127 , 	59 , 	200 , 	309 , 	143 , 	208 , 	181 , 	148 , 	109 , 	625 , 	64 , 	184 ," 	6,833 ",,,,,,,,,,
MT, 	68 , 	110 , 	105 , 	105 , 	342 , 	91 , 	125 , 	113 , 	246 , 	120 , 	184 , 	211 , 	90 , 	71 , 	37 , 	26 , 	68 , 	123 , 	72 , 	90 , 	103 , 	55 , 	54 , 	146 , 	132 , 	21 , 	29 , 	47 , 	46 , 	299 , 	344 , 	296 , 	847 , 	156 , 	126 , 	35 , 	116 , 	18 , 	56 ," 	5,319 ",,,,,,,,,,
PL, 	121 , 	289 , 	158 , 	194 , 	710 , 	194 , 	384 , 	200 , 	475 , 	280 , 	385 , 	505 , 	208 , 	178 , 	105 , 	70 , 	158 , 	323 , 	170 , 	202 , 	255 , 	148 , 	141 , 	367 , 	400 , 	132 , 	44 , 	102 , 	185 , 	842 ," 	1,177 ", 	648 ," 	1,138 ", 	577 , 	482 , 	107 , 	484 , 	58 , 	188 ," 	12,783 ",,,,,,,,,,
CC, 	65 , 	104 , 	75 , 	115 , 	275 , 	106 , 	154 , 	123 , 	155 , 	87 , 	144 , 	221 , 	90 , 	79 , 	47 , 	30 , 	49 , 	131 , 	93 , 	96 , 	110 , 	80 , 	59 , 	161 , 	129 , 	55 , 	35 , 	150 , 	66 , 	416 , 	558 , 	227 , 	495 , 	215 , 	209 , 	63 , 	202 , 	30 , 	65 ," 	5,566 ",,,,,,,,,,
16, 	46 , 	32 , 	18 , 	32 , 	123 , 	57 , 	80 , 	49 , 	67 , 	39 , 	80 , 	90 , 	21 , 	14 , 	16 , 	12 , 	11 , 	20 , 	32 , 	16 , 	14 , 	9 , 	13 , 	55 , 	50 , 	165 , 	201 , 	835 , 	444 , 	41 , 	153 , 	107 , 	226 , 	107 , 	106 , 	9 , 	25 , 	6 , 	28 ," 	3,444 ",,,,,,,,,,
24, 	69 , 	57 , 	17 , 	29 , 	88 , 	57 , 	66 , 	34 , 	60 , 	38 , 	120 , 	117 , 	35 , 	28 , 	18 , 	12 , 	15 , 	20 , 	53 , 	19 , 	23 , 	10 , 	7 , 	46 , 	53 , 	246 , 	267 ," 	1,165 ", 	570 , 	139 , 	57 , 	113 , 	287 , 	153 , 	158 , 	14 , 	34 , 	6 , 	56 ," 	4,351 ",,,,,,,,,,
GP, 	12 , 	19 , 	12 , 	10 , 	39 , 	15 , 	19 , 	13 , 	19 , 	12 , 	18 , 	70 , 	18 , 	10 , 	5 , 	3 , 	4 , 	16 , 	15 , 	14 , 	15 , 	7 , 	7 , 	18 , 	12 , 	138 , 	163 , 	793 , 	205 , 	106 , 	89 , 	22 , 	32 , 	27 , 	48 , 	4 , 	22 , 	9 , 	23 ," 	2,083 ",,,,,,,,,,
BP, 	23 , 	40 , 	4 , 	6 , 	23 , 	11 , 	22 , 	8 , 	41 , 	16 , 	31 , 	45 , 	18 , 	13 , 	12 , 	7 , 	9 , 	17 , 	15 , 	11 , 	8 , 	2 , 	5 , 	8 , 	17 , 	184 , 	259 ," 	1,857 ", 	385 , 	235 , 	291 , 	40 , 	40 , 	43 , 	77 , 	2 , 	14 , 	5 , 	33 ," 	3,873 ",,,,,,,,,,
DC, 	14 , 	25 , 	16 , 	13 , 	38 , 	13 , 	17 , 	12 , 	33 , 	18 , 	31 , 	95 , 	18 , 	22 , 	9 , 	14 , 	12 , 	20 , 	23 , 	21 , 	20 , 	7 , 	4 , 	12 , 	12 , 	170 , 	133 , 	610 , 	234 , 	116 , 	158 , 	38 , 	43 , 	11 , 	47 , 	8 , 	42 , 	6 , 	28 ," 	2,155 ",,,,,,,,,,
CM, 	20 , 	25 , 	8 , 	6 , 	48 , 	16 , 	18 , 	14 , 	41 , 	5 , 	14 , 	46 , 	6 , 	13 , 	9 , 	5 , 	8 , 	13 , 	29 , 	19 , 	24 , 	10 , 	10 , 	18 , 	8 , 	141 , 	114 , 	511 , 	220 , 	86 , 	151 , 	50 , 	83 , 	41 , 	15 , 	4 , 	18 , 	9 , 	55 ," 	1,930 ",,,,,,,,,,
CV, 	1 , 	3 , 	2 , 	3 , 	15 , 	5 , 	4 , 	6 , 	7 , 	23 , 	27 , 	109 , 	21 , 	31 , 	10 , 	6 , 	5 , 	16 , 	2 , 	2 , 	1 , 	0 , 	-   , 	3 , 	4 , 	99 , 	41 , 	108 , 	65 , 	14 , 	10 , 	4 , 	3 , 	10 , 	4 , 	3 , 	57 , 	0 , 	2 , 	719 ,,,,,,,,,,
ED, 	6 , 	11 , 	7 , 	6 , 	37 , 	8 , 	11 , 	7 , 	16 , 	38 , 	57 , 	464 , 	42 , 	83 , 	35 , 	19 , 	18 , 	45 , 	9 , 	4 , 	2 , 	2 , 	0 , 	9 , 	13 , 	556 , 	147 , 	441 , 	210 , 	20 , 	31 , 	19 , 	10 , 	39 , 	24 , 	61 , 	18 , 	1 , 	4 ," 	2,528 ",,,,,,,,,,
NC, 	1 , 	3 , 	1 , 	2 , 	3 , 	0 , 	4 , 	3 , 	10 , 	1 , 	3 , 	35 , 	2 , 	3 , 	2 , 	1 , 	1 , 	3 , 	18 , 	5 , 	15 , 	4 , 	3 , 	4 , 	0 , 	55 , 	23 , 	47 , 	29 , 	5 , 	6 , 	12 , 	5 , 	3 , 	11 , 	1 , 	2 , 	1 , 	22 , 	343 ,,,,,,,,,,
WP, 	20 , 	18 , 	5 , 	4 , 	17 , 	11 , 	44 , 	22 , 	40 , 	5 , 	28 , 	105 , 	15 , 	13 , 	12 , 	10 , 	12 , 	23 , 	150 , 	40 , 	53 , 	11 , 	7 , 	16 , 	9 , 	150 , 	65 , 	183 , 	83 , 	29 , 	58 , 	27 , 	31 , 	38 , 	48 , 	1 , 	6 , 	25 , 	11 ," 	1,438 ",,,,,,,,,,
Entries," 	1,412 "," 	1,984 "," 	1,213 "," 	1,166 "," 	4,115 "," 	1,598 "," 	1,989 "," 	1,371 "," 	2,777 "," 	1,486 "," 	2,754 "," 	5,440 "," 	1,581 "," 	1,710 "," 	1,347 ", 	808 ," 	1,169 "," 	2,298 "," 	1,665 "," 	1,185 "," 	1,597 ", 	798 , 	671 ," 	1,534 "," 	1,399 "," 	5,952 "," 	3,819 "," 	13,180 "," 	5,773 "," 	3,543 "," 	4,407 "," 	2,172 "," 	3,840 "," 	2,143 "," 	2,012 ", 	721 ," 	2,658 ", 	371 ," 	1,365 "," 	97,023 ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
