Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Jul 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
CC, 	65 , 	168 , 	90 , 	151 , 	361 , 	130 , 	219 , 	151 , 	212 , 	109 , 	186 , 	187 , 	105 , 	96 , 	55 , 	43 , 	67 , 	149 , 	106 , 	111 , 	135 , 	84 , 	74 , 	204 , 	159 , 	86 , 	68 , 	227 , 	62 , 	568 , 	754 , 	337 , 	712 , 	339 , 	299 , 	56 , 	256 , 	39 , 	81 ," 	7,304 ",,,,,,,,,,
16, 	68 , 	73 , 	25 , 	57 , 	151 , 	70 , 	103 , 	71 , 	85 , 	50 , 	87 , 	75 , 	26 , 	27 , 	20 , 	11 , 	18 , 	24 , 	42 , 	32 , 	21 , 	12 , 	12 , 	68 , 	55 , 	215 , 	309 ," 	1,098 ", 	601 , 	29 , 	227 , 	185 , 	344 , 	157 , 	128 , 	11 , 	29 , 	7 , 	36 ," 	4,651 ",,,,,,,,,,
24, 	114 , 	101 , 	30 , 	47 , 	125 , 	71 , 	79 , 	47 , 	89 , 	45 , 	155 , 	102 , 	45 , 	39 , 	35 , 	21 , 	20 , 	29 , 	64 , 	28 , 	26 , 	13 , 	13 , 	62 , 	78 , 	332 , 	409 ," 	1,615 ", 	755 , 	209 , 	44 , 	207 , 	360 , 	219 , 	207 , 	12 , 	33 , 	8 , 	54 ," 	5,937 ",,,,,,,,,,
GP, 	12 , 	28 , 	10 , 	16 , 	51 , 	19 , 	22 , 	15 , 	35 , 	20 , 	27 , 	56 , 	16 , 	14 , 	7 , 	6 , 	6 , 	23 , 	19 , 	15 , 	16 , 	6 , 	7 , 	26 , 	20 , 	208 , 	253 ," 	1,128 ", 	279 , 	157 , 	174 , 	23 , 	56 , 	47 , 	55 , 	7 , 	24 , 	7 , 	16 ," 	2,926 ",,,,,,,,,,
BP, 	24 , 	47 , 	8 , 	10 , 	34 , 	21 , 	20 , 	22 , 	49 , 	21 , 	44 , 	40 , 	17 , 	19 , 	14 , 	10 , 	21 , 	22 , 	17 , 	11 , 	13 , 	4 , 	5 , 	12 , 	23 , 	256 , 	431 ," 	2,452 ", 	607 , 	338 , 	372 , 	54 , 	30 , 	49 , 	91 , 	5 , 	13 , 	6 , 	35 ," 	5,265 ",,,,,,,,,,
DC, 	22 , 	45 , 	19 , 	13 , 	61 , 	11 , 	25 , 	20 , 	60 , 	23 , 	36 , 	58 , 	23 , 	23 , 	18 , 	12 , 	17 , 	39 , 	28 , 	19 , 	26 , 	11 , 	7 , 	13 , 	15 , 	259 , 	234 , 	957 , 	334 , 	163 , 	226 , 	55 , 	63 , 	14 , 	56 , 	9 , 	49 , 	6 , 	33 ," 	3,097 ",,,,,,,,,,
CM, 	26 , 	33 , 	11 , 	9 , 	47 , 	15 , 	27 , 	25 , 	51 , 	8 , 	21 , 	44 , 	9 , 	14 , 	12 , 	5 , 	8 , 	15 , 	35 , 	28 , 	33 , 	11 , 	15 , 	17 , 	9 , 	216 , 	177 , 	740 , 	292 , 	123 , 	195 , 	59 , 	112 , 	54 , 	9 , 	7 , 	22 , 	9 , 	57 ," 	2,594 ",,,,,,,,,,
CV, 	4 , 	5 , 	4 , 	3 , 	19 , 	5 , 	4 , 	7 , 	13 , 	29 , 	32 , 	89 , 	36 , 	42 , 	17 , 	8 , 	10 , 	19 , 	2 , 	3 , 	2 , 	1 , 	1 , 	1 , 	3 , 	119 , 	63 , 	140 , 	63 , 	10 , 	11 , 	7 , 	4 , 	7 , 	7 , 	5 , 	77 , 	1 , 	4 , 	871 ,,,,,,,,,,
ED, 	13 , 	24 , 	10 , 	7 , 	59 , 	10 , 	19 , 	17 , 	34 , 	57 , 	84 , 	395 , 	57 , 	128 , 	50 , 	22 , 	28 , 	56 , 	8 , 	4 , 	4 , 	2 , 	2 , 	10 , 	19 , 	881 , 	246 , 	641 , 	239 , 	25 , 	36 , 	23 , 	20 , 	46 , 	27 , 	81 , 	18 , 	0 , 	6 ," 	3,407 ",,,,,,,,,,
NC, 	2 , 	3 , 	2 , 	1 , 	10 , 	1 , 	6 , 	5 , 	11 , 	2 , 	3 , 	28 , 	2 , 	3 , 	3 , 	2 , 	2 , 	5 , 	29 , 	15 , 	27 , 	4 , 	3 , 	6 , 	2 , 	81 , 	38 , 	85 , 	35 , 	7 , 	10 , 	6 , 	3 , 	7 , 	8 , 	1 , 	0 , 	4 , 	32 , 	489 ,,,,,,,,,,
WP, 	19 , 	26 , 	7 , 	5 , 	32 , 	10 , 	53 , 	29 , 	66 , 	6 , 	33 , 	88 , 	16 , 	17 , 	15 , 	13 , 	9 , 	23 , 	227 , 	52 , 	79 , 	11 , 	8 , 	22 , 	19 , 	217 , 	89 , 	248 , 	100 , 	30 , 	73 , 	26 , 	44 , 	46 , 	66 , 	3 , 	10 , 	37 , 	25 ," 	1,894 ",,,,,,,,,,
Entries," 	1,934 "," 	3,125 "," 	1,724 "," 	1,652 "," 	5,671 "," 	2,131 "," 	2,676 "," 	2,035 "," 	3,985 "," 	1,901 "," 	3,469 "," 	4,758 "," 	2,115 "," 	2,317 "," 	1,850 "," 	1,131 "," 	1,535 "," 	2,972 "," 	2,230 "," 	1,670 "," 	2,186 "," 	1,039 ", 	921 ," 	1,973 "," 	1,910 "," 	8,000 "," 	6,068 "," 	18,889 "," 	7,549 "," 	4,767 "," 	6,227 "," 	3,077 "," 	5,526 "," 	3,099 "," 	2,621 ", 	891 ," 	3,504 ", 	512 ," 	1,717 "," 	131,358 ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
