Exit stations,Entry stations->,,SATURDAY,,,Mar 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	19 , 	39 , 	39 , 	21 , 	148 , 	31 , 	44 , 	28 , 	33 , 	10 , 	28 , 	21 , 	9 , 	8 , 	7 , 	6 , 	3 , 	4 , 	7 , 	8 , 	8 , 	3 , 	5 , 	13 , 	10 , 	73 , 	51 , 	146 , 	59 , 	51 , 	56 , 	13 , 	15 , 	16 , 	7 , 	3 , 	3 , 	1 , 	6 , 	6 , 	8 , 	24 , 	9 , 	1 , 	4 , 	6 , 	7 , 	6 , 	3 , 	5 ," 	1,126 ",,,,,,,,,,
LF, 	2 , 	3 , 	5 , 	2 , 	15 , 	2 , 	15 , 	16 , 	14 , 	1 , 	5 , 	5 , 	1 , 	1 , 	2 , 	0 , 	0 , 	3 , 	71 , 	23 , 	25 , 	9 , 	7 , 	29 , 	2 , 	79 , 	48 , 	97 , 	64 , 	18 , 	16 , 	8 , 	2 , 	2 , 	1 , 	-   , 	1 , 	2 , 	9 , 	2 , 	2 , 	37 , 	3 , 	-   , 	6 , 	-   , 	0 , 	1 , 	4 , 	5 , 	663 ,,,,,,,,,,
OR, 	1 , 	3 , 	3 , 	4 , 	7 , 	2 , 	12 , 	13 , 	14 , 	1 , 	5 , 	4 , 	0 , 	-   , 	1 , 	0 , 	1 , 	1 , 	11 , 	6 , 	14 , 	7 , 	5 , 	21 , 	3 , 	69 , 	29 , 	96 , 	58 , 	17 , 	9 , 	4 , 	3 , 	4 , 	0 , 	-   , 	-   , 	0 , 	2 , 	2 , 	0 , 	27 , 	2 , 	-   , 	3 , 	0 , 	1 , 	1 , 	2 , 	1 , 	463 ,,,,,,,,,,
RR, 	13 , 	11 , 	9 , 	4 , 	9 , 	5 , 	26 , 	56 , 	43 , 	4 , 	20 , 	7 , 	5 , 	4 , 	3 , 	3 , 	2 , 	3 , 	26 , 	33 , 	51 , 	27 , 	23 , 	16 , 	11 , 	170 , 	125 , 	211 , 	138 , 	80 , 	61 , 	16 , 	8 , 	12 , 	3 , 	0 , 	3 , 	3 , 	11 , 	3 , 	2 , 	43 , 	3 , 	1 , 	5 , 	2 , 	2 , 	3 , 	3 , 	9 ," 	1,323 ",,,,,,,,,,
OW, 	11 , 	10 , 	4 , 	3 , 	16 , 	8 , 	15 , 	25 , 	24 , 	6 , 	55 , 	23 , 	14 , 	15 , 	12 , 	6 , 	2 , 	4 , 	5 , 	4 , 	7 , 	3 , 	2 , 	13 , 	13 , 	250 , 	210 , 	529 , 	266 , 	169 , 	115 , 	22 , 	18 , 	16 , 	9 , 	2 , 	11 , 	1 , 	9 , 	2 , 	6 , 	44 , 	8 , 	3 , 	2 , 	5 , 	2 , 	6 , 	2 , 	5 ," 	2,006 ",,,,,,,,,,
EM, 	82 , 	137 , 	95 , 	110 , 	317 , 	87 , 	178 , 	228 , 	192 , 	141 , 	148 , 	58 , 	95 , 	92 , 	54 , 	38 , 	61 , 	77 , 	84 , 	134 , 	131 , 	87 , 	66 , 	174 , 	297 , 	84 , 	15 , 	123 , 	79 , 	232 , 	272 , 	128 , 	172 , 	133 , 	44 , 	51 , 	192 , 	17 , 	61 , 	30 , 	45 , 	155 , 	115 , 	57 , 	27 , 	32 , 	66 , 	87 , 	11 , 	44 ," 	5,427 ",,,,,,,,,,
MT, 	74 , 	122 , 	68 , 	87 , 	275 , 	93 , 	171 , 	190 , 	185 , 	106 , 	136 , 	59 , 	110 , 	106 , 	49 , 	34 , 	46 , 	61 , 	70 , 	84 , 	106 , 	59 , 	40 , 	146 , 	260 , 	16 , 	50 , 	22 , 	47 , 	173 , 	235 , 	148 , 	278 , 	157 , 	61 , 	53 , 	130 , 	16 , 	52 , 	44 , 	43 , 	165 , 	102 , 	38 , 	17 , 	26 , 	54 , 	70 , 	7 , 	33 ," 	4,769 ",,,,,,,,,,
PL, 	132 , 	267 , 	130 , 	135 , 	462 , 	127 , 	225 , 	271 , 	257 , 	190 , 	247 , 	130 , 	176 , 	172 , 	91 , 	65 , 	83 , 	95 , 	124 , 	130 , 	160 , 	101 , 	86 , 	215 , 	490 , 	119 , 	27 , 	109 , 	113 , 	530 , 	655 , 	375 , 	576 , 	503 , 	147 , 	75 , 	230 , 	40 , 	120 , 	127 , 	135 , 	524 , 	249 , 	69 , 	38 , 	41 , 	86 , 	115 , 	17 , 	69 ," 	9,643 ",,,,,,,,,,
CC, 	61 , 	102 , 	75 , 	104 , 	222 , 	95 , 	164 , 	192 , 	154 , 	101 , 	182 , 	78 , 	88 , 	61 , 	46 , 	27 , 	39 , 	59 , 	59 , 	77 , 	109 , 	76 , 	76 , 	149 , 	278 , 	62 , 	38 , 	93 , 	64 , 	213 , 	286 , 	167 , 	159 , 	218 , 	70 , 	38 , 	129 , 	17 , 	32 , 	64 , 	76 , 	182 , 	207 , 	39 , 	14 , 	18 , 	44 , 	62 , 	11 , 	22 ," 	4,991 ",,,,,,,,,,
16, 	51 , 	54 , 	36 , 	63 , 	133 , 	69 , 	145 , 	149 , 	95 , 	73 , 	83 , 	32 , 	33 , 	28 , 	15 , 	12 , 	16 , 	18 , 	26 , 	18 , 	36 , 	18 , 	15 , 	87 , 	156 , 	201 , 	155 , 	577 , 	236 , 	28 , 	91 , 	126 , 	156 , 	161 , 	55 , 	12 , 	39 , 	6 , 	18 , 	44 , 	59 , 	121 , 	123 , 	12 , 	7 , 	11 , 	12 , 	31 , 	2 , 	9 ," 	3,748 ",,,,,,,,,,
24, 	58 , 	65 , 	31 , 	43 , 	93 , 	52 , 	110 , 	114 , 	72 , 	50 , 	84 , 	49 , 	33 , 	27 , 	17 , 	13 , 	14 , 	15 , 	27 , 	16 , 	25 , 	15 , 	11 , 	56 , 	123 , 	242 , 	166 , 	715 , 	308 , 	78 , 	32 , 	114 , 	133 , 	145 , 	53 , 	10 , 	26 , 	4 , 	24 , 	46 , 	55 , 	76 , 	91 , 	4 , 	6 , 	7 , 	12 , 	22 , 	5 , 	12 ," 	3,593 ",,,,,,,,,,
