Exit stations,Entry stations->,,SATURDAY,,,Jan 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	13 , 	28 , 	22 , 	14 , 	80 , 	16 , 	29 , 	19 , 	26 , 	6 , 	22 , 	22 , 	6 , 	5 , 	5 , 	6 , 	3 , 	2 , 	6 , 	4 , 	4 , 	2 , 	1 , 	7 , 	9 , 	55 , 	31 , 	110 , 	42 , 	43 , 	53 , 	8 , 	15 , 	11 , 	4 , 	3 , 	3 , 	0 , 	3 , 	2 , 	7 , 	19 , 	4 , 	-   , 	3 , 	4 , 	2 , 	5 , 	2 , 	3 , 	784 ,,,,,,,,,,
EM, 	70 , 	88 , 	54 , 	70 , 	213 , 	69 , 	124 , 	145 , 	136 , 	88 , 	103 , 	61 , 	72 , 	80 , 	36 , 	27 , 	35 , 	46 , 	65 , 	59 , 	73 , 	39 , 	45 , 	97 , 	203 , 	48 , 	4 , 	54 , 	30 , 	154 , 	158 , 	88 , 	121 , 	79 , 	30 , 	36 , 	96 , 	16 , 	43 , 	23 , 	27 , 	109 , 	40 , 	35 , 	19 , 	17 , 	30 , 	47 , 	13 , 	36 ," 	3,451 ",,,,,,,,,,
MT, 	39 , 	70 , 	39 , 	40 , 	156 , 	46 , 	80 , 	105 , 	110 , 	62 , 	77 , 	35 , 	72 , 	66 , 	22 , 	17 , 	25 , 	26 , 	43 , 	49 , 	46 , 	24 , 	16 , 	67 , 	145 , 	12 , 	28 , 	11 , 	20 , 	105 , 	130 , 	79 , 	195 , 	96 , 	36 , 	29 , 	55 , 	8 , 	31 , 	19 , 	23 , 	91 , 	29 , 	13 , 	16 , 	12 , 	20 , 	20 , 	6 , 	21 ," 	2,580 ",,,,,,,,,,
PL, 	93 , 	145 , 	67 , 	65 , 	181 , 	66 , 	115 , 	130 , 	153 , 	104 , 	170 , 	99 , 	116 , 	109 , 	42 , 	33 , 	41 , 	39 , 	74 , 	78 , 	87 , 	46 , 	34 , 	92 , 	285 , 	68 , 	13 , 	63 , 	40 , 	318 , 	406 , 	211 , 	337 , 	277 , 	103 , 	41 , 	106 , 	32 , 	74 , 	61 , 	85 , 	297 , 	78 , 	32 , 	18 , 	21 , 	23 , 	38 , 	15 , 	40 ," 	5,262 ",,,,,,,,,,
CC, 	37 , 	56 , 	27 , 	45 , 	102 , 	46 , 	86 , 	102 , 	87 , 	62 , 	126 , 	48 , 	48 , 	43 , 	19 , 	12 , 	17 , 	25 , 	34 , 	31 , 	44 , 	20 , 	23 , 	66 , 	139 , 	52 , 	21 , 	38 , 	26 , 	109 , 	146 , 	83 , 	124 , 	109 , 	53 , 	18 , 	58 , 	8 , 	25 , 	31 , 	45 , 	117 , 	59 , 	24 , 	9 , 	10 , 	19 , 	29 , 	10 , 	22 ," 	2,590 ",,,,,,,,,,
16, 	42 , 	41 , 	14 , 	28 , 	72 , 	33 , 	79 , 	80 , 	63 , 	51 , 	59 , 	28 , 	23 , 	18 , 	9 , 	6 , 	9 , 	13 , 	19 , 	15 , 	21 , 	10 , 	13 , 	38 , 	76 , 	125 , 	92 , 	334 , 	115 , 	19 , 	57 , 	78 , 	99 , 	86 , 	44 , 	8 , 	19 , 	5 , 	13 , 	23 , 	35 , 	78 , 	48 , 	8 , 	7 , 	4 , 	6 , 	9 , 	5 , 	10 ," 	2,185 ",,,,,,,,,,
24, 	52 , 	39 , 	14 , 	17 , 	53 , 	23 , 	55 , 	54 , 	38 , 	30 , 	53 , 	34 , 	21 , 	17 , 	12 , 	9 , 	5 , 	8 , 	17 , 	8 , 	10 , 	6 , 	6 , 	29 , 	61 , 	155 , 	104 , 	447 , 	162 , 	48 , 	25 , 	69 , 	86 , 	87 , 	45 , 	7 , 	12 , 	3 , 	15 , 	34 , 	47 , 	55 , 	37 , 	4 , 	7 , 	3 , 	4 , 	8 , 	4 , 	13 ," 	2,154 ",,,,,,,,,,
GP, 	8 , 	9 , 	5 , 	5 , 	25 , 	5 , 	15 , 	15 , 	15 , 	9 , 	11 , 	8 , 	8 , 	6 , 	4 , 	1 , 	2 , 	3 , 	5 , 	4 , 	8 , 	3 , 	4 , 	10 , 	13 , 	83 , 	59 , 	243 , 	67 , 	72 , 	59 , 	9 , 	21 , 	18 , 	15 , 	3 , 	6 , 	1 , 	8 , 	8 , 	17 , 	37 , 	22 , 	3 , 	2 , 	1 , 	3 , 	4 , 	1 , 	4 , 	968 ,,,,,,,,,,
BP, 	12 , 	10 , 	2 , 	3 , 	11 , 	8 , 	12 , 	10 , 	16 , 	11 , 	13 , 	14 , 	11 , 	10 , 	4 , 	3 , 	3 , 	3 , 	6 , 	2 , 	5 , 	2 , 	1 , 	6 , 	15 , 	101 , 	84 , 	409 , 	105 , 	88 , 	82 , 	17 , 	9 , 	13 , 	19 , 	3 , 	6 , 	1 , 	6 , 	10 , 	26 , 	51 , 	23 , 	2 , 	1 , 	3 , 	2 , 	6 , 	3 , 	3 ," 	1,263 ",,,,,,,,,,
DC, 	11 , 	13 , 	4 , 	5 , 	15 , 	5 , 	8 , 	14 , 	14 , 	9 , 	18 , 	17 , 	8 , 	8 , 	5 , 	2 , 	2 , 	3 , 	7 , 	4 , 	6 , 	2 , 	2 , 	6 , 	12 , 	82 , 	77 , 	333 , 	105 , 	88 , 	90 , 	18 , 	17 , 	14 , 	12 , 	3 , 	5 , 	2 , 	4 , 	13 , 	27 , 	87 , 	28 , 	3 , 	2 , 	4 , 	2 , 	3 , 	3 , 	6 ," 	1,229 ",,,,,,,,,,
CM, 	5 , 	5 , 	2 , 	1 , 	3 , 	1 , 	2 , 	3 , 	5 , 	1 , 	5 , 	4 , 	1 , 	5 , 	0 , 	2 , 	1 , 	1 , 	3 , 	3 , 	2 , 	1 , 	1 , 	2 , 	5 , 	22 , 	20 , 	128 , 	55 , 	39 , 	44 , 	14 , 	22 , 	9 , 	4 , 	0 , 	2 , 	1 , 	5 , 	3 , 	18 , 	63 , 	10 , 	0 , 	0 , 	-   , 	1 , 	1 , 	2 , 	3 , 	531 ,,,,,,,,,,
