Exit stations,Entry stations->,,TOTAL,,,Jan 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	304 ," 	1,304 "," 	1,079 ", 	684 ," 	3,631 ", 	931 ," 	1,397 "," 	1,022 "," 	1,127 ", 	335 ," 	1,063 ", 	713 , 	411 , 	206 , 	353 , 	186 , 	156 , 	146 , 	252 , 	98 , 	253 , 	122 , 	83 , 	239 , 	374 ," 	3,115 "," 	2,279 "," 	4,561 "," 	2,482 "," 	2,282 "," 	2,242 ", 	509 , 	663 , 	465 , 	233 , 	75 , 	136 , 	38 , 	133 , 	121 , 	251 , 	484 , 	195 , 	44 , 	128 , 	185 , 	96 , 	143 , 	126 , 	167 ," 	37,622 ",,,,,,,,,,,,,
LF, 	121 , 	91 , 	76 , 	42 , 	297 , 	51 , 	347 , 	481 , 	459 , 	40 , 	178 , 	78 , 	57 , 	27 , 	42 , 	25 , 	20 , 	19 ," 	1,245 ", 	568 , 	667 , 	143 , 	155 , 	488 , 	17 ," 	1,856 "," 	1,699 "," 	1,419 "," 	1,023 ", 	460 , 	305 , 	85 , 	85 , 	77 , 	33 , 	16 , 	22 , 	95 , 	377 , 	14 , 	53 , 	669 , 	37 , 	5 , 	147 , 	12 , 	31 , 	44 , 	204 , 	157 ," 	14,659 ",,,,,,,,,,,,,
OR, 	98 , 	85 , 	36 , 	85 , 	285 , 	19 , 	265 , 	328 , 	424 , 	32 , 	219 , 	82 , 	39 , 	51 , 	68 , 	10 , 	6 , 	47 , 	306 , 	219 , 	357 , 	175 , 	82 , 	494 , 	36 ," 	1,841 "," 	1,524 "," 	1,043 ", 	743 , 	368 , 	169 , 	118 , 	78 , 	73 , 	24 , 	26 , 	11 , 	32 , 	72 , 	26 , 	40 , 	432 , 	39 , 	1 , 	93 , 	7 , 	17 , 	28 , 	73 , 	88 ," 	10,814 ",,,,,,,,,,,,,
RR, 	248 , 	322 , 	366 , 	135 , 	205 , 	79 , 	697 ," 	1,081 ", 	957 , 	106 , 	567 , 	203 , 	254 , 	152 , 	147 , 	22 , 	106 , 	83 , 	680 , 	729 , 	874 , 	449 , 	558 , 	243 , 	310 ," 	3,376 "," 	2,533 "," 	3,101 "," 	2,392 "," 	1,350 ", 	842 , 	372 , 	598 , 	195 , 	69 , 	41 , 	76 , 	130 , 	308 , 	120 , 	87 ," 	1,210 ", 	67 , 	14 , 	150 , 	41 , 	59 , 	50 , 	189 , 	488 ," 	27,431 ",,,,,,,,,,,,,
OW, 	330 , 	381 , 	89 , 	117 , 	652 , 	254 , 	594 , 	474 , 	890 , 	291 ," 	1,283 ", 	855 , 	569 , 	401 , 	421 , 	180 , 	205 , 	92 , 	173 , 	109 , 	169 , 	34 , 	27 , 	305 , 	282 ," 	8,733 "," 	5,759 "," 	8,476 "," 	5,446 "," 	2,825 "," 	1,925 ", 	560 , 	655 , 	409 , 	178 , 	85 , 	252 , 	36 , 	146 , 	205 , 	251 , 	918 , 	197 , 	102 , 	114 , 	97 , 	45 , 	86 , 	95 , 	293 ," 	47,065 ",,,,,,,,,,,,,
EM," 	3,398 "," 	6,166 "," 	2,893 "," 	2,589 "," 	5,266 "," 	2,758 "," 	5,346 "," 	6,008 "," 	5,928 "," 	4,814 "," 	5,991 "," 	3,566 "," 	4,624 "," 	4,197 "," 	2,501 "," 	2,018 "," 	1,855 "," 	1,821 "," 	3,772 "," 	4,447 "," 	3,964 "," 	2,223 "," 	2,155 "," 	3,696 "," 	9,710 "," 	1,385 ", 	315 ," 	1,573 "," 	1,664 "," 	4,939 "," 	7,232 "," 	4,344 "," 	6,722 "," 	5,252 "," 	2,064 "," 	1,844 "," 	4,770 "," 	1,066 "," 	3,082 "," 	1,537 "," 	1,256 "," 	2,582 "," 	1,519 "," 	1,900 ", 	743 , 	580 , 	793 ," 	1,202 ", 	902 ," 	3,359 "," 	164,331 ",,,,,,,,,,,,,
MT," 	3,314 "," 	5,152 "," 	2,506 "," 	2,066 "," 	3,923 "," 	2,141 "," 	4,654 "," 	4,945 "," 	4,734 "," 	3,973 "," 	4,683 "," 	2,477 "," 	4,544 "," 	3,943 "," 	1,902 "," 	1,421 "," 	1,615 "," 	1,484 "," 	3,121 "," 	3,757 "," 	2,945 "," 	1,810 "," 	1,575 "," 	2,923 "," 	6,998 ", 	454 ," 	1,060 ", 	632 ," 	1,404 "," 	5,252 "," 	8,461 "," 	5,945 "," 	11,417 "," 	6,976 "," 	2,781 "," 	2,072 "," 	3,511 ", 	962 ," 	3,199 "," 	2,027 "," 	1,742 "," 	2,802 "," 	1,811 "," 	1,187 ", 	489 , 	569 , 	673 , 	865 , 	625 ," 	2,629 "," 	152,151 ",,,,,,,,,,,,,
PL," 	3,697 "," 	5,776 "," 	2,086 "," 	1,652 "," 	4,283 "," 	2,030 "," 	4,117 "," 	4,444 "," 	5,387 "," 	3,803 "," 	6,496 "," 	3,458 "," 	4,439 "," 	3,785 "," 	1,829 "," 	1,367 "," 	1,436 "," 	1,468 "," 	3,074 "," 	2,738 "," 	2,429 "," 	1,263 ", 	983 ," 	2,540 "," 	8,163 "," 	2,089 ", 	623 ," 	1,742 "," 	1,404 "," 	8,973 "," 	12,433 "," 	7,023 "," 	12,389 "," 	9,236 "," 	3,611 "," 	1,455 "," 	3,417 "," 	1,067 "," 	3,431 "," 	2,792 "," 	2,720 "," 	7,187 "," 	2,240 "," 	1,127 ", 	570 , 	567 , 	683 , 	838 , 	835 ," 	2,583 "," 	173,778 ",,,,,,,,,,,,,
CC," 	2,219 "," 	4,093 "," 	1,771 "," 	1,882 "," 	3,159 "," 	2,079 "," 	4,108 "," 	4,028 "," 	3,734 "," 	3,324 "," 	6,220 "," 	2,302 "," 	3,064 "," 	2,413 "," 	1,319 "," 	1,042 "," 	1,015 "," 	1,075 "," 	2,459 "," 	1,963 "," 	2,072 ", 	993 , 	776 ," 	2,082 "," 	5,636 "," 	1,774 "," 	1,180 "," 	1,347 "," 	1,037 "," 	3,903 "," 	6,367 "," 	4,306 "," 	7,115 "," 	5,394 "," 	2,772 "," 	1,055 "," 	2,083 ", 	757 ," 	2,113 "," 	2,012 "," 	2,037 "," 	3,419 "," 	1,960 ", 	890 , 	328 , 	392 , 	560 , 	690 , 	540 ," 	2,211 "," 	121,070 ",,,,,,,,,,,,,
16," 	1,936 "," 	1,988 ", 	755 , 	904 ," 	1,915 "," 	1,152 "," 	2,618 "," 	2,562 "," 	2,052 "," 	1,824 "," 	2,507 "," 	1,100 "," 	1,302 "," 	1,065 ", 	655 , 	411 , 	459 , 	484 , 	979 , 	744 , 	747 , 	454 , 	371 ," 	1,227 "," 	2,858 "," 	4,713 "," 	4,665 "," 	9,505 "," 	4,276 ", 	675 ," 	1,625 "," 	2,821 "," 	4,725 "," 	3,608 "," 	1,904 ", 	461 , 	841 , 	298 ," 	1,009 "," 	1,205 "," 	1,417 "," 	2,300 "," 	1,339 ", 	429 , 	201 , 	150 , 	171 , 	265 , 	345 , 	951 ," 	82,968 ",,,,,,,,,,,,,
24," 	1,970 "," 	1,820 ", 	691 , 	607 ," 	1,655 ", 	777 ," 	2,005 "," 	1,782 "," 	1,675 "," 	1,264 "," 	2,284 "," 	1,231 "," 	1,160 ", 	614 , 	574 , 	469 , 	307 , 	311 , 	777 , 	515 , 	489 , 	350 , 	171 , 	838 ," 	2,187 "," 	6,448 "," 	6,950 "," 	14,269 "," 	7,256 "," 	1,641 ", 	795 ," 	2,670 "," 	3,922 "," 	3,402 "," 	1,959 ", 	215 , 	541 , 	343 , 	997 ," 	1,315 "," 	1,568 "," 	1,733 "," 	1,253 ", 	255 , 	176 , 	115 , 	157 , 	223 , 	302 , 	866 ," 	85,894 ",,,,,,,,,,,,,
