Exit stations,Entry stations->,,SATURDAY,,,Oct 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
EM, 	181 , 	393 , 	278 , 	344 , 	933 , 	291 , 	465 , 	480 , 	453 , 	372 , 	440 , 	285 , 	315 , 	268 , 	182 , 	111 , 	236 , 	378 , 	260 , 	362 , 	476 , 	273 , 	261 , 	453 , 	896 , 	106 , 	41 , 	270 , 	161 , 	445 , 	589 , 	345 , 	490 , 	499 , 	166 , 	228 , 	687 , 	100 , 	159 , 	143 , 	188 , 	389 , 	607 , 	266 , 	82 , 	285 , 	-   , 	-   , 	28 , 	131 ," 	15,786 ",,,,,,,,,,
MT, 	152 , 	253 , 	176 , 	238 , 	634 , 	209 , 	345 , 	360 , 	312 , 	295 , 	362 , 	182 , 	221 , 	204 , 	100 , 	74 , 	110 , 	165 , 	150 , 	199 , 	259 , 	148 , 	151 , 	331 , 	720 , 	39 , 	59 , 	45 , 	92 , 	350 , 	504 , 	356 , 	899 , 	442 , 	128 , 	112 , 	268 , 	51 , 	107 , 	112 , 	96 , 	280 , 	307 , 	118 , 	52 , 	125 , 	-   , 	-   , 	13 , 	70 ," 	10,967 ",,,,,,,,,,
PL, 	237 , 	458 , 	269 , 	277 , 	814 , 	252 , 	439 , 	467 , 	437 , 	416 , 	545 , 	287 , 	347 , 	282 , 	175 , 	135 , 	196 , 	272 , 	235 , 	300 , 	312 , 	190 , 	192 , 	385 ," 	1,018 ", 	304 , 	58 , 	123 , 	193 ," 	1,116 "," 	1,356 ", 	801 ," 	1,418 "," 	1,131 ", 	285 , 	185 , 	495 , 	94 , 	202 , 	255 , 	256 ," 	1,084 ", 	716 , 	207 , 	95 , 	173 , 	-   , 	-   , 	29 , 	117 ," 	19,628 ",,,,,,,,,,
CC, 	111 , 	211 , 	139 , 	207 , 	570 , 	212 , 	368 , 	373 , 	291 , 	229 , 	344 , 	155 , 	180 , 	134 , 	100 , 	61 , 	95 , 	140 , 	114 , 	172 , 	196 , 	145 , 	110 , 	298 , 	639 , 	139 , 	88 , 	207 , 	56 , 	400 , 	513 , 	265 , 	446 , 	427 , 	120 , 	90 , 	274 , 	42 , 	67 , 	109 , 	145 , 	360 , 	489 , 	102 , 	42 , 	104 , 	-   , 	-   , 	11 , 	53 ," 	10,135 ",,,,,,,,,,
16, 	75 , 	107 , 	79 , 	135 , 	344 , 	166 , 	257 , 	287 , 	175 , 	169 , 	191 , 	89 , 	78 , 	61 , 	40 , 	23 , 	35 , 	45 , 	55 , 	65 , 	83 , 	43 , 	45 , 	175 , 	409 , 	398 , 	316 ," 	1,158 ", 	417 , 	38 , 	178 , 	228 , 	327 , 	263 , 	79 , 	38 , 	79 , 	17 , 	35 , 	65 , 	99 , 	155 , 	268 , 	31 , 	20 , 	38 , 	-   , 	-   , 	11 , 	17 ," 	7,499 ",,,,,,,,,,
24, 	96 , 	133 , 	55 , 	101 , 	260 , 	111 , 	176 , 	227 , 	148 , 	136 , 	187 , 	101 , 	53 , 	39 , 	31 , 	28 , 	30 , 	29 , 	42 , 	37 , 	52 , 	27 , 	36 , 	126 , 	292 , 	454 , 	378 ," 	1,484 ", 	578 , 	153 , 	35 , 	193 , 	348 , 	238 , 	91 , 	27 , 	55 , 	14 , 	45 , 	66 , 	112 , 	144 , 	200 , 	18 , 	20 , 	21 , 	-   , 	-   , 	11 , 	20 ," 	7,249 ",,,,,,,,,,
GP, 	16 , 	33 , 	18 , 	33 , 	128 , 	30 , 	50 , 	69 , 	45 , 	38 , 	35 , 	41 , 	23 , 	15 , 	16 , 	7 , 	8 , 	12 , 	24 , 	20 , 	26 , 	12 , 	9 , 	38 , 	77 , 	259 , 	253 , 	896 , 	234 , 	197 , 	199 , 	19 , 	45 , 	44 , 	33 , 	13 , 	29 , 	6 , 	17 , 	22 , 	48 , 	76 , 	72 , 	6 , 	11 , 	8 , 	-   , 	-   , 	3 , 	11 ," 	3,316 ",,,,,,,,,,
BP, 	30 , 	40 , 	10 , 	13 , 	73 , 	13 , 	28 , 	43 , 	56 , 	38 , 	49 , 	46 , 	29 , 	26 , 	14 , 	11 , 	12 , 	12 , 	20 , 	15 , 	19 , 	7 , 	9 , 	23 , 	71 , 	375 , 	448 ," 	1,717 ", 	364 , 	274 , 	294 , 	48 , 	42 , 	47 , 	44 , 	14 , 	24 , 	7 , 	19 , 	25 , 	101 , 	93 , 	65 , 	7 , 	7 , 	8 , 	-   , 	-   , 	3 , 	14 ," 	4,741 ",,,,,,,,,,
DC, 	31 , 	45 , 	18 , 	18 , 	147 , 	26 , 	33 , 	36 , 	64 , 	39 , 	42 , 	74 , 	29 , 	22 , 	20 , 	16 , 	15 , 	22 , 	19 , 	20 , 	23 , 	14 , 	7 , 	22 , 	66 , 	405 , 	373 ," 	1,233 ", 	406 , 	261 , 	237 , 	46 , 	55 , 	27 , 	25 , 	12 , 	40 , 	7 , 	24 , 	26 , 	98 , 	159 , 	103 , 	19 , 	15 , 	15 , 	-   , 	-   , 	6 , 	20 ," 	4,476 ",,,,,,,,,,
CM, 	5 , 	18 , 	4 , 	6 , 	21 , 	4 , 	10 , 	10 , 	17 , 	4 , 	6 , 	8 , 	8 , 	6 , 	4 , 	2 , 	4 , 	2 , 	8 , 	9 , 	9 , 	2 , 	4 , 	4 , 	12 , 	121 , 	93 , 	324 , 	126 , 	56 , 	86 , 	27 , 	48 , 	24 , 	12 , 	2 , 	7 , 	3 , 	11 , 	8 , 	35 , 	115 , 	35 , 	1 , 	1 , 	1 , 	-   , 	-   , 	3 , 	7 ," 	1,324 ",,,,,,,,,,
CV, 	4 , 	5 , 	3 , 	3 , 	38 , 	4 , 	9 , 	12 , 	18 , 	58 , 	35 , 	48 , 	30 , 	45 , 	16 , 	7 , 	11 , 	10 , 	2 , 	1 , 	1 , 	2 , 	2 , 	4 , 	10 , 	181 , 	91 , 	207 , 	92 , 	37 , 	25 , 	12 , 	9 , 	19 , 	4 , 	5 , 	56 , 	1 , 	1 , 	0 , 	4 , 	24 , 	4 , 	50 , 	6 , 	9 , 	-   , 	-   , 	1 , 	1 ," 	1,211 ",,,,,,,,,,
ED, 	9 , 	13 , 	9 , 	11 , 	131 , 	12 , 	17 , 	34 , 	24 , 	64 , 	75 , 	107 , 	43 , 	64 , 	21 , 	15 , 	32 , 	27 , 	8 , 	3 , 	8 , 	2 , 	2 , 	12 , 	27 , 	556 , 	229 , 	502 , 	288 , 	68 , 	47 , 	33 , 	33 , 	54 , 	7 , 	57 , 	22 , 	1 , 	4 , 	4 , 	7 , 	96 , 	8 , 	40 , 	48 , 	21 , 	-   , 	-   , 	1 , 	3 ," 	2,894 ",,,,,,,,,,
