Avg Sunday Trip OD																																																			
																																																			
2024 / 06																																																			
	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday
UC	4	7	2	4	27	7	8	13	14	22	21	30	17	18	35	14	12	20	2	1	2		1	1	3	88	37	74	73	20	8	3	2	6	2	4	11	1	2	1	1	7	1	5	8	19	1	2	28	37	725
FM	5	5	4	4	34	6	11	17	16	23	26	30	13	22	44	20	20	17	2	1	4	1	1	2	4	99	46	94	69	22	11	6	4	7	2	5	12	1	3	1	1	13	1	3	10	15	0	3	51	47	859
CN	8	10	5	3	11	4	19	19	11	6	7	13	4	6	6	2	1	1	27	28	83	73	10	26	5	112	63	95	97	28	22	3	5	8	2	1	3	10	57	4	4	49	2	2	12	2	27	36	4	7	"1,043"
PH	5	5	3	3	14	5	16	15	13	3	4	15	3	2	3	1	2	1	25	10	33	16	4	27	4	150	60	92	89	24	14	8	5	5	2	1	1	3	23	2	2	62	4	1	17	1	7	15	2	5	828
WC	6	5	6	7	20	6	18	25	22	3	9	16	3	6	2	2	1	4	89	39	19	23	15	52	4	191	90	121	129	34	19	7	7	7	3	2	1	5	34	6	2	74	4	1	14	1	10	21	3	6	"1,197"
LF	3	5	3	2	12	3	8	11	11	1	5	7	1	1	2	2	1	0	76	17	25	12	5	24	3	141	53	72	100	18	11	5	4	3	1		1	3	5	1	1	45	1		6	0	4	9	1	4	727
OR	2	3	2	2	11	1	6	9	6	2	2	7	0	3	1	0	1	1	8	2	14	7	11	19	4	121	44	57	82	19	8	3	1	1	0	1	1	1	5	1	0	26	3		4	0	3	4	1	1	512
RR	5	8	8	4	8	4	14	26	25	6	9	11	5	3	1	2	1	2	28	39	60	31	25	14	11	185	82	124	178	67	38	12	5	7	1	1	2	6	13	3	2	58	5	1	7	1	4	22	3	6	"1,181"
OW	9	12	4	5	26	12	16	29	27	13	36	24	14	13	9	3	4	6	8	10	9	6	5	13	54	426	187	420	417	216	100	31	23	22	6	4	12	2	7	5	6	83	9	3	5	2	3	7	5	6	"2,372"
EM	113	195	129	157	369	132	191	267	243	161	179	169	157	130	80	76	105	127	139	182	251	187	150	233	500	168	28	133	198	223	290	170	135	213	56	87	429	58	94	53	64	197	155	124	70	55	11	89	138	161	"8,024"
MT	69	92	65	85	185	68	100	166	153	98	112	81	94	83	40	33	45	56	64	78	84	55	49	101	234	16	67	30	68	134	200	99	135	146	42	49	146	21	53	27	41	158	84	44	28	32	8	28	56	81	"4,083"
PL	106	160	78	75	218	86	158	201	197	144	174	163	136	129	63	50	70	71	106	84	108	60	55	121	357	90	16	135	119	414	500	207	328	318	87	59	197	36	84	71	101	545	151	52	35	30	9	65	70	118	"7,006"
CC	69	123	98	118	184	98	174	212	169	116	170	77	118	90	53	36	61	67	89	85	113	81	75	142	384	152	93	131	90	261	340	166	163	310	83	51	158	22	56	80	105	186	259	36	20	26	8	47	77	113	"6,036"
16	43	47	24	41	97	59	101	124	90	68	74	37	24	18	17	10	17	16	24	17	22	16	12	50	172	168	114	446	356	37	85	78	89	117	37	11	35	4	13	29	41	127	70	11	10	6	2	10	21	28	"3,164"
24	50	46	18	34	82	34	71	91	77	60	65	46	24	22	13	11	6	11	21	17	21	12	8	43	113	248	190	629	444	97	34	62	72	89	32	10	23	4	23	27	42	97	52	7	18	5	5	17	16	22	"3,263"
GP	7	11	5	9	28	8	12	24	19	14	16	10	6	5	3	1	3	4	6	8	6	5	3	11	27	115	78	220	192	78	70	15	11	22	14	2	11	3	5	11	21	61	22	3	8	1	1	6	4	6	"1,233"
BP	11	13	3	4	18	7	12	17	18	14	15	8	10	7	4	3	2	3	8	4	6	3	1	4	20	107	79	382	160	79	67	14	13	22	18	3	14	1	8	16	20	53	21	3	3	2	1	7	7	7	"1,323"
DC	7	7	4	6	20	5	9	20	15	11	12	19	12	8	5	6	2	8	10	6	7	2	1	7	21	138	110	366	351	141	101	23	25	23	19	2	17	1	6	25	51	168	64	3	7	3	1	7	7	9	"1,897"
CM	6	8	2	2	4	2	2	4	7	1	4	1	0	3	0	1	1	2	2	3	3	0	1	1	6	38	25	107	89	37	33	12	23	20	7	0	1	0	5	4	16	50	14	1	1	1	1	5	0	1	556
CV	1	2	2	2	9	2	3	6	5	32	14	37	13	12	5	4	2	5	2	1	1		0	1	4	70	36	67	65	12	9	3	3	3	0	7	32	0	0		2	5	1	32	2	2		2	1	4	523
ED	5	4	2	3	27	6	11	11	10	37	39	108	26	33	21	11	11	12	4	1	2	1	1	3	12	365	141	219	203	46	24	8	12	17	2	36	38	0	2	2	1	57	3	11	32	3	1	2	15	21	"1,663"
NC	0	1	0	1	3	1	3	2	1	0	2	3	1	0	1	1	1	0	13	4	7	3	3	8	1	42	18	40	29	9	4	3	2	1			0	5	9	1	0	14	0		3		3	6	0	2	250
WP	3	4	1	2	8	2	13	7	6	4	4	10	5	1	1	1	3	2	58	22	35	5	5	15	5	75	47	94	61	18	19	6	5	5	2	1	2	8	17	2	4	29	1	0	8	2	3	9	1	3	643
SS	4	5	2	1	4	1	2	4	7	2	4	2	2	1	0	1	2	0	3	1	6	1	0	2	3	33	21	92	86	30	27	12	17	24	4	1	2	1	1	9	9	29	5	1	1	1	0	5	1	1	472
SB	7	6	1	1	8	2	5	7	11	3	4	5	4	4	1	2	1	0	6	2	3	2	0	2	7	42	39	110	122	41	42	16	23	38	11	1	2	0	3	12	18	92	7	0	2	0	1	4	0	2	721
SO	34	27	26	31	50	19	27	35	42	8	11	13	11	7	2	3	5	7	35	37	54	31	32	34	57	149	129	502	140	85	44	37	28	92	27	3	38	12	26	14	40	86	145	8	10	3	4	21	5	2	"2,288"
MB	7	7	4	6	21	4	6	10	18	3	3	7	3	3	2	1	1	1	2	2	3	1	0	3	10	85	59	166	299	95	43	17	23	57	10	0	4	2	1	4	7	311	33	1	2	0	0	4	0	0	"1,352"
WD	1	2		1	11	2	6	9	2	16	23	39	20	22	10	9	3	4	3	1	1		0	2	4	110	39	71	56	13	8	4	4	3	0	27	12	0		0	0	15	0	8	13	1	0	0	7	6	590
OA	2	8	5	6	24	6	4	5	11	10	3	14	4	2	4	2	1	4	5	6	5	2	1	1	3	56	31	53	17	9	9	5	3	2		2	14	2	5	0	1	11	1	6	6	1	0	3	7	2	388
WS	3	5	1	4	12	2	5	7	4	14	16	28	9	11	17	19	22	19	2	1	1	1	0	2	3	48	26	36	36	11	5	2	3	4	0	3	4	2	2		0	7	0	3	4	7	0	1	26	22	462
PC	3	1	0	0	2	1	6	4	3	1	2	2	1	1	1	1	0	0	33	11	11	4	2	5	2	9	7	15	8	5	5	1	1	2	1	1	1	7	5	0	1	5	0	1	1	0	1	8	1	0	182
AN	6	7	1	2	4	1	16	7	7	3	6	11	3	3	5	2	2	1	42	16	25	8	4	18	6	70	26	75	54	17	14	6	5	8	4	1	3	4	9	5	4	39	4	0	9	2	9	8	3	4	589
ML	6	9	3	7	43	6	11	15	12	21	15	24	13	13	26	17	33	46	2	2	4	1	1	2	5	91	50	86	95	25	12	5	6	8	1	2	16		1	1	1	9	1	8	6	19	0	2	26	18	826
BE	9	15	7	6	58	15	19	22	17	30	39	45	23	22	35	24	33	44	6	5	6	4	3	5	10	122	62	127	141	38	21	6	8	9	1	4	24	2	5	1	1	8	1	6	7	30		3	17	18	"1,163"
Grand Total	"1,068"	"1,379"	919	894	"2,597"	991	"1,499"	"1,878"	"1,732"	"1,441"	"1,796"	"1,763"	"1,262"	"1,152"	866	580	715	858	"1,087"	852	"1,197"	729	537	"1,135"	"2,308"	"6,321"	"3,319"	"7,984"	"6,829"	"3,379"	"2,978"	"1,230"	"1,370"	"1,788"	521	534	"1,671"	250	660	469	686	"3,314"	"1,233"	560	617	440	153	570	873	"1,158"	"80,147"
