Avg Saturday Trip OD																																																			
																																																			
2024 / 06																																																			
	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday
LM	12	15	11	9	29	13	10	8	5	13	49	87	94	71	38	21	22	29	2	3	4	1	2	4	16	190	111	198	160	114	71	17	18	17	2	36	63	1	2	2	2	10	2	25	15	13	1	4	25	34	"1,700"
FV	39	39	18	17	63	28	43	36	25	40	21	98	95	95	74	33	37	27	10	7	10	6	7	15	49	166	104	231	178	123	94	17	19	18	5	24	57	2	8	6	4	25	6	25	7	24	1	6	23	28	"2,137"
CL	34	38	20	16	41	23	43	53	60	74	90	22	93	69	61	40	51	52	19	12	22	5	9	11	40	148	73	192	105	52	54	17	21	41	6	31	125	8	15	7	9	13	11	51	19	46	2	13	62	76	"2,199"
SL	13	19	9	11	45	17	26	47	57	98	102	102	14	65	74	35	26	28	5	5	10	1	1	10	16	158	96	205	125	50	45	11	14	17	3	30	40	2	7	4	5	15	5	27	5	17	1	7	25	29	"1,779"
BF	6	14	7	6	29	6	19	31	38	67	85	76	63	10	51	34	22	34	8	2	8	0	1	4	18	121	82	201	93	30	37	8	12	14	2	21	45	1	2	1	5	10	4	34	5	19	1	7	19	20	"1,432"
HY	10	18	4	9	31	11	16	31	35	32	72	67	80	46	13	35	49	67	8	3	6	2	1	4	13	81	36	78	57	25	21	5	6	9	3	9	31	0	3	4	4	6	2	11	4	26	0	7	36	38	"1,167"
SH	6	6	5	2	17	5	7	14	14	18	28	35	33	30	32	8	22	34	3	1	4	2	2	2	5	54	29	59	36	13	16	4	5	6	1	7	12	0	3	2	2	5	3	12	4	34	1	2	28	24	697
UC	5	9	4	4	34	6	10	23	19	21	31	50	27	27	55	22	16	32	3	5	2	1	0	1	4	105	48	91	61	25	14	4	5	6	1	5	17	1	4	1	1	10	2	10	6	26	0	2	43	40	939
FM	7	11	5	3	40	8	13	20	18	27	37	57	30	37	68	37	29	23	5	1	5	1	1	3	4	113	66	100	77	32	20	5	6	11	2	7	18		2	2	1	11	1	4	8	28	0	2	66	53	"1,122"
CN	15	11	5	6	15	4	26	22	23	4	9	19	5	9	9	2	2	4	21	43	110	75	15	35	8	112	57	119	68	28	24	8	9	15	3	2	5	11	61	6	8	54	5	1	11	2	33	49	5	8	"1,199"
PH	4	6	4	5	17	6	17	27	23	3	9	14	6	3	4	2	5	2	39	20	38	21	9	39	6	164	70	119	87	28	19	8	6	7	3	1	2	4	24	2	2	70	2	2	9	2	12	18	4	5	998
WC	12	11	11	8	29	11	37	39	34	4	12	19	9	6	6	3	1	5	129	46	20	26	17	76	7	211	92	139	106	42	32	9	11	12	4	4	2	8	47	6	5	78	4	1	9	2	16	32	6	6	"1,462"
LF	4	5	5	5	13	3	11	18	12	1	7	6	1	1	3	2	0	2	88	25	28	11	6	31	1	132	60	75	69	20	16	5	3	3	0	0	1	5	9	1	1	42	3	0	4	1	3	8	1	4	755
OR	3	4	4	1	10	1	9	8	12	1	6	9	1	2	1	2	0	2	15	10	18	8	7	27	3	108	51	65	55	27	14	2	3	3		0	0	2	6	1	1	31	1	1	3	1	4	3	1	2	549
RR	8	11	8	5	9	5	22	38	32	5	17	11	9	5	3	3	3	3	40	48	84	38	31	15	16	203	100	130	141	103	55	11	7	9	2	2	2	8	18	2	5	56	3	1	7	1	5	23	2	3	"1,367"
OW	16	14	4	5	23	10	23	31	32	16	51	34	18	17	12	5	4	6	7	6	8	3	3	13	33	421	239	477	397	258	129	21	23	17	4	4	12	1	7	4	9	60	10	6	3	3	2	4	6	5	"2,514"
EM	109	188	128	164	411	134	239	342	296	194	202	166	180	150	103	64	123	139	130	193	259	162	129	249	522	126	21	106	117	298	359	159	166	180	52	100	496	48	93	60	60	231	122	133	53	63	15	72	133	128	"8,371"
MT	83	119	74	80	212	97	137	209	193	117	134	89	118	102	46	36	59	69	66	90	104	59	53	132	302	22	57	22	57	197	262	117	199	155	46	64	177	14	59	40	48	180	75	48	25	31	9	32	58	62	"4,837"
PL	135	200	107	95	257	101	182	264	276	164	217	166	167	158	85	42	73	89	114	109	126	67	62	130	474	123	20	111	110	533	689	272	442	371	108	68	208	31	98	90	117	674	159	62	48	44	12	62	86	109	"8,509"
CC	76	131	85	112	196	106	187	279	215	149	171	97	130	98	66	46	62	77	72	81	121	77	63	139	465	125	56	118	92	287	429	147	150	232	88	59	169	17	49	65	83	185	182	54	16	31	11	47	68	93	"6,156"
16	54	74	44	85	142	128	197	244	163	115	124	52	49	37	27	16	27	29	27	30	47	20	25	124	307	284	191	574	335	39	111	126	124	180	53	23	47	7	18	44	61	124	108	18	10	9	5	15	24	46	"4,761"
24	76	65	34	45	118	60	102	145	106	72	100	52	46	38	25	18	12	21	27	21	30	16	15	56	169	358	233	824	483	147	49	103	121	125	53	15	36	4	27	34	60	74	64	16	11	9	7	19	17	25	"4,382"
GP	8	10	12	9	33	8	17	29	27	15	18	15	8	7	5	4	3	7	6	9	8	5	2	10	25	138	89	290	143	104	101	12	18	22	15	3	17	4	7	17	24	48	30	8	6	2	1	8	5	10	"1,425"
BP	13	13	6	6	22	9	14	28	22	13	19	21	11	10	5	4	3	5	8	5	9	2	4	10	24	147	112	469	136	112	97	14	14	24	26	3	14	2	10	17	26	43	25	4	3	3	3	6	8	6	"1,607"
DC	12	18	6	7	30	6	12	22	21	12	18	36	15	12	8	5	7	8	11	8	9	4	1	6	24	145	120	414	245	161	139	32	34	35	31	5	20	2	9	39	74	178	84	5	4	7	2	7	5	10	"2,121"
CM	6	9	3	2	7	3	4	8	11	4	4	4	1	4	2	1	2	1	3	2	4	1	0	3	4	47	32	136	79	45	44	19	29	24	11	1	4		7	5	19	51	18	1	1	1	2	5	1	2	675
CV	1	5	2	3	11	3	2	5	6	29	27	30	30	21	12	8	6	6	2	1	2	1	0	2	4	91	48	87	50	25	17	4	5	7	0	9	49	0	1	1	2	11	1	43	3	2	0	2	4	4	684
ED	4	9	5	8	36	8	9	16	14	51	61	125	42	45	34	15	15	15	3	5	2	1	1	3	15	427	157	227	148	48	35	18	17	22	3	46	31	0	2	2	4	63	8	14	24	5	0	3	22	30	"1,895"
NC	2	1		0	3	0	5	9	5	1	1	8	1	1	1	1	1	2	13	6	10	3	1	7	1	32	19	32	16	4	5	4	3	2	0	0	0	7	8	1	3	17	1	0	3	1	5	8	1	1	257
WP	4	7	3	2	8	1	16	6	11	2	8	14	4	3	3	3	3	2	59	24	52	9	6	17	5	68	45	121	49	19	28	5	8	11	5		3	7	13	3	6	34	2	0	5	4	4	10	4	4	732
SS	5	7	1	1	6	2	3	6	6	2	5	5	3	3	3	2	2	1	5	1	5	1	1	2	8	48	30	101	58	41	36	14	22	36	4	1	1	1	3	12	13	35	10	1	0		1	3	0	1	559
SB	9	11	1	3	11	2	7	8	19	3	6	10	5	2	4	1	1	2	5	4	6	2	1	4	11	47	36	130	90	63	52	25	37	71	16	2	2	2	6	14	15	73	13	1		1	2	5	1	1	841
SO	39	35	28	43	78	28	35	46	52	8	18	14	12	7	3	2	6	9	43	51	58	37	27	41	64	155	115	495	127	101	54	42	41	129	39	7	49	13	28	18	50	77	198	17	8	4	4	32	11	4	"2,602"
MB	7	7	6	6	34	6	6	17	17	4	8	8	3	2	2	1	1	1	4	2	3	2	1	3	9	85	63	175	133	94	47	25	29	72	15	1	5	1	1	11	14	245	31	0	2	0	1	3	0	2	"1,217"
WD	2	2	2	2	12	2	5	7	4	25	26	49	32	33	17	14	10	7	2	2	0	0		2	6	125	48	72	57	23	9	7	5	5	1	43	15	0		1	2	19	1	8	8	4	1	2	10	9	735
OA	3	11	9	10	22	6	7	9	9	11	4	21	5	2	5	4	6	6	8	7	7	3	2	2	4	40	20	40	16	13	6	4	2	5	0	2	15	2	5	1	1	9	2	6	7	1	0	6	4	5	397
WS	3	9	2	6	19	5	8	14	6	13	19	45	13	12	19	18	25	21	2	0	1	0	0	2	4	57	26	47	32	15	8	3	3	7	0	2	5	1	1		1	6	0	2	2	7	0	1	28	30	552
PC	4	3	1	1	2	1	9	5	6	1	2	4	2	1	1	1	1		38	14	14	3	3	3	6	11	9	18	11	5	4	1	3	3	1		1	7	6	1	1	4	1	0	0	1	2	9	2	1	224
AN	9	7	3	2	6	2	20	15	12	3	10	15	9	9	7	5	3	3	55	19	37	9	3	23	8	69	33	81	46	14	26	8	10	10	7	1	2	8	12	5	3	45	3	0	8	3	9	10	2	5	713
ML	8	8	5	9	54	7	9	18	19	26	21	59	23	18	30	24	44	58	6	4	5	2	1	2	3	107	52	96	62	23	11	6	9	6	1	4	17	1	3	1	1	12	0	7	5	32	1	3	19	20	962
BE	10	17	7	8	76	15	18	33	30	31	34	74	31	27	42	30	40	59	6	5	6	1	2	5	10	120	58	95	94	38	32	7	12	10	3	5	27	1	5	1	2	8	1	7	5	44	1	6	20	29	"1,246"
Grand Total	"1,367"	"1,708"	"1,150"	"1,097"	"3,235"	"1,250"	"1,971"	"2,595"	"2,373"	"1,611"	"2,215"	"2,223"	"1,736"	"1,446"	"1,222"	731	931	"1,109"	"1,242"	"1,030"	"1,478"	771	565	"1,395"	"2,878"	"7,230"	"3,937"	"9,106"	"5,964"	"4,406"	"4,020"	"1,479"	"1,812"	"2,087"	672	678	"1,931"	260	750	576	822	"3,391"	"1,300"	696	483	630	201	623	"1,018"	"1,200"	"94,598"
