Total Trip OD																																																			
																																																			
2024 / 06																																																			
	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits
FM	269	420	176	227	"1,773"	277	685	"1,257"	"1,743"	"1,204"	"1,388"	"1,158"	"2,018"	"1,517"	"2,888"	"1,532"	"1,500"	577	214	110	162	23	64	141	163	"6,598"	"4,479"	"3,283"	"2,688"	891	445	216	194	298	59	310	771	40	104	44	75	457	24	239	294	"1,530"	19	120	"2,429"	"1,882"	"48,975"
CN	471	573	261	237	"1,068"	277	"1,865"	"1,695"	"2,113"	308	433	633	381	330	351	177	164	212	630	"1,484"	"3,770"	"2,489"	634	"1,359"	264	"7,244"	"5,798"	"5,164"	"4,789"	"1,428"	"1,195"	535	469	597	182	61	172	622	"2,816"	204	269	"2,003"	266	70	467	48	"1,545"	"2,237"	205	219	"60,784"
PH	160	340	182	242	"1,098"	297	"1,443"	"1,965"	"2,497"	230	296	541	245	111	146	99	97	98	"1,429"	381	"1,440"	769	365	"1,405"	192	"11,290"	"8,826"	"5,215"	"4,525"	"1,414"	790	537	323	456	129	24	81	287	"1,035"	164	215	"2,539"	185	50	509	83	484	"1,064"	137	133	"56,563"
WC	524	545	341	376	"1,483"	303	"1,809"	"2,681"	"2,512"	380	414	578	346	234	227	145	213	173	"4,027"	"1,587"	520	"1,180"	660	"2,351"	281	"12,770"	"9,347"	"5,244"	"4,995"	"1,596"	950	560	433	576	203	80	80	431	"1,811"	270	290	"3,179"	214	18	508	73	650	"1,499"	197	187	"70,051"
LF	220	196	179	109	595	193	592	940	"1,253"	96	331	304	74	48	90	45	24	27	"2,910"	945	"1,190"	320	250	"1,153"	95	"9,080"	"6,458"	"2,703"	"2,721"	804	484	205	181	141	42	18	20	182	452	61	103	"1,833"	80	10	293	37	178	417	33	80	"38,795"
OR	159	174	118	86	429	60	469	735	989	100	218	291	94	64	49	35	30	66	570	297	675	260	232	865	103	"7,951"	"5,222"	"2,172"	"2,498"	725	298	261	119	129	53	18	20	44	280	61	56	"1,362"	78	13	159	14	149	169	38	47	"29,104"
RR	356	481	362	220	475	168	881	"1,752"	"2,031"	269	693	438	433	200	124	99	88	133	"1,390"	"1,596"	"2,367"	"1,208"	910	342	482	"13,465"	"8,943"	"5,223"	"6,569"	"2,904"	"1,527"	702	279	411	61	70	118	225	655	187	186	"2,423"	163	33	242	55	185	714	101	155	"63,094"
OW	657	544	187	327	"1,014"	461	895	"1,098"	"1,218"	428	"1,789"	"1,313"	716	675	578	251	226	221	278	258	273	124	113	484	953	"20,018"	"12,224"	"13,583"	"12,435"	"6,562"	"3,596"	934	906	681	180	259	490	47	257	246	388	"2,076"	376	167	147	137	176	293	166	173	"91,598"
EM	"5,996"	"10,650"	"6,838"	"7,838"	"15,490"	"7,378"	"12,021"	"16,165"	"15,597"	"9,269"	"9,986"	"6,052"	"10,340"	"7,605"	"5,047"	"4,127"	"6,237"	"7,484"	"8,650"	"13,084"	"15,017"	"10,698"	"9,226"	"14,723"	"23,578"	"3,606"	863	"3,858"	"5,032"	"12,255"	"17,561"	"11,236"	"11,681"	"13,269"	"4,851"	"5,916"	"20,261"	"2,642"	"7,074"	"4,064"	"3,902"	"7,217"	"5,185"	"7,406"	"2,040"	"2,919"	871	"5,605"	"4,348"	"4,866"	"427,624"
MT	"4,909"	"7,689"	"5,018"	"5,530"	"9,510"	"5,256"	"8,572"	"11,482"	"10,148"	"6,759"	"7,866"	"3,956"	"7,944"	"6,703"	"3,646"	"2,869"	"4,425"	"4,870"	"6,121"	"9,209"	"9,196"	"6,414"	"5,255"	"9,358"	"14,491"	823	"1,886"	"1,112"	"3,182"	"10,915"	"17,753"	"11,745"	"14,643"	"15,293"	"5,240"	"4,212"	"11,498"	"1,575"	"5,385"	"4,472"	"4,548"	"6,406"	"5,477"	"4,323"	"1,138"	"2,224"	750	"4,232"	"3,212"	"3,331"	"322,571"
PL	"5,506"	"8,266"	"3,495"	"3,092"	"7,734"	"3,660"	"7,194"	"8,562"	"9,450"	"5,930"	"8,190"	"5,135"	"6,363"	"5,845"	"2,979"	"2,122"	"2,832"	"2,905"	"4,785"	"4,908"	"4,797"	"2,469"	"2,111"	"4,906"	"13,099"	"4,409"	"1,178"	"2,939"	"2,913"	"14,320"	"18,541"	"10,622"	"18,765"	"14,838"	"4,695"	"2,505"	"7,231"	"1,380"	"5,963"	"3,935"	"3,952"	"19,195"	"4,302"	"2,488"	"1,433"	"1,410"	961	"3,596"	"1,998"	"2,475"	"292,379"
CC	"3,701"	"6,496"	"3,628"	"4,047"	"6,175"	"4,056"	"7,289"	"8,622"	"7,547"	"5,319"	"7,773"	"3,431"	"5,121"	"4,228"	"2,580"	"1,893"	"2,387"	"2,458"	"4,019"	"3,845"	"4,385"	"2,623"	"2,360"	"5,763"	"12,775"	"4,604"	"2,983"	"3,028"	"1,920"	"7,543"	"11,162"	"7,514"	"10,213"	"11,216"	"4,228"	"2,365"	"5,555"	"1,200"	"3,137"	"3,798"	"3,918"	"6,495"	"5,061"	"1,793"	685	"1,107"	781	"3,376"	"1,667"	"2,120"	"229,990"
16	"2,229"	"2,935"	"1,397"	"2,070"	"3,861"	"2,640"	"4,986"	"5,953"	"4,648"	"2,948"	"4,086"	"1,574"	"1,990"	"1,490"	"1,012"	611	890	881	"1,327"	"1,282"	"1,448"	801	594	"2,795"	"6,873"	"11,374"	"10,905"	"16,120"	"8,924"	757	"2,931"	"4,770"	"5,935"	"6,631"	"2,394"	736	"1,703"	447	"1,617"	"1,875"	"2,149"	"4,548"	"2,709"	777	348	413	302	"1,263"	537	826	"152,312"
24	"2,625"	"2,416"	988	"1,237"	"3,104"	"1,450"	"2,911"	"3,592"	"3,444"	"2,051"	"3,128"	"1,675"	"1,472"	"1,203"	592	648	334	465	"1,186"	779	984	521	320	"1,438"	"4,167"	"15,320"	"15,154"	"21,480"	"12,887"	"3,171"	838	"3,803"	"4,719"	"4,922"	"1,993"	431	"1,027"	307	"1,332"	"1,488"	"1,987"	"3,125"	"2,069"	488	388	236	259	969	406	505	"142,034"
GP	561	832	429	487	"1,729"	385	906	"1,516"	"1,529"	672	798	596	504	391	309	117	151	232	523	420	479	228	215	703	"1,036"	"10,080"	"10,294"	"11,463"	"7,416"	"4,672"	"3,907"	386	928	"1,211"	918	155	582	88	423	635	924	"1,969"	"1,157"	215	217	89	84	621	129	194	"74,505"
BP	738	815	308	247	924	270	759	"1,045"	"1,386"	653	885	618	668	491	299	250	220	179	482	301	362	162	120	265	917	"9,718"	"10,317"	"20,140"	"9,108"	"5,286"	"4,494"	994	439	"1,090"	"1,151"	226	422	115	532	819	"1,202"	"1,867"	"1,353"	185	120	102	152	399	172	188	"83,955"
DC	546	922	300	237	"1,085"	291	700	"1,012"	"1,387"	622	"1,001"	906	840	536	353	169	218	296	516	481	545	163	143	329	731	"11,809"	"13,519"	"16,288"	"11,913"	"6,453"	"5,107"	"1,344"	"1,345"	663	751	285	752	104	404	"1,343"	"2,205"	"4,548"	"2,681"	275	188	218	104	476	190	278	"97,572"
CM	267	298	102	97	358	79	168	377	640	124	101	121	97	117	73	44	56	41	185	133	187	35	61	97	178	"4,605"	"4,526"	"5,632"	"4,219"	"2,226"	"1,979"	868	"1,245"	613	281	48	129	26	264	249	709	"1,596"	"1,083"	12	22	20	82	228	17	31	"34,746"
CV	73	83	92	69	441	83	182	434	442	"1,417"	936	"1,000"	753	642	350	270	251	272	82	33	47	19	16	55	223	"5,278"	"3,772"	"2,827"	"2,663"	771	450	159	247	334	26	220	"1,764"	9	36	56	62	306	75	"1,289"	98	124	11	58	104	129	"29,133"
ED	209	315	134	172	"1,598"	327	591	"1,093"	"1,570"	"2,443"	"2,260"	"3,122"	"2,252"	"1,887"	"1,173"	618	818	703	168	89	79	32	24	104	514	"17,869"	"10,833"	"7,792"	"6,139"	"1,847"	"1,061"	573	467	821	119	"1,726"	806	32	55	121	172	"2,338"	220	526	"1,039"	310	31	70	733	744	"78,739"
NC	82	71	51	37	287	28	321	431	626	121	80	185	56	21	31	27	35	42	515	287	401	132	38	234	50	"2,041"	"1,446"	"1,447"	"1,431"	466	365	122	128	92	21	4	24	138	427	108	102	711	36	3	167	33	304	426	22	55	"14,308"
WP	258	222	70	110	679	157	"1,570"	919	"1,786"	193	385	468	194	100	127	74	124	89	"2,920"	"1,132"	"2,009"	438	303	754	276	"5,747"	"4,555"	"6,974"	"4,612"	"1,776"	"1,379"	621	497	453	243	34	75	423	375	152	305	"1,572"	224	31	315	130	175	453	88	109	"46,675"
SS	249	333	93	64	398	77	221	479	651	115	214	147	137	118	105	48	68	47	211	171	254	48	47	161	235	"3,837"	"3,997"	"4,521"	"3,875"	"1,946"	"1,495"	557	936	"1,322"	236	50	109	105	195	277	502	"1,087"	529	37	26	36	23	297	16	23	"30,725"
SB	358	433	157	95	437	142	311	565	689	168	342	258	153	196	146	44	60	71	280	235	283	103	61	190	485	"3,712"	"4,100"	"4,540"	"3,963"	"2,154"	"1,997"	952	"1,370"	"2,066"	654	79	152	123	304	534	397	"2,428"	522	46	42	31	45	283	21	20	"36,797"
SO	"1,469"	"1,604"	"1,323"	"1,749"	"2,555"	"1,121"	"1,685"	"1,581"	"1,967"	411	758	502	489	260	122	112	255	356	"1,873"	"2,410"	"2,925"	"1,908"	"1,381"	"2,062"	"2,240"	"5,318"	"4,834"	"15,285"	"5,338"	"3,602"	"2,271"	"1,623"	"1,538"	"3,335"	"1,341"	209	"1,876"	666	"1,487"	754	"1,705"	"2,338"	"7,420"	555	267	197	240	"1,318"	205	123	"96,963"
MB	336	525	217	262	"1,455"	257	399	695	854	162	204	288	133	97	110	82	50	25	234	157	195	85	66	144	351	"4,436"	"4,689"	"4,431"	"4,729"	"2,562"	"1,698"	966	"1,449"	"2,441"	853	45	211	39	168	429	427	"8,646"	922	55	65	7	63	228	13	17	"46,972"
WD	105	150	92	42	589	60	356	588	540	"1,251"	"1,026"	"1,153"	"1,056"	"1,063"	572	437	369	271	100	59	22	4	7	63	166	"6,645"	"4,233"	"2,736"	"2,344"	870	417	216	218	297	12	"1,401"	567	7	24	34	56	669	66	265	397	204	33	22	348	318	"32,540"
OA	168	482	414	457	878	314	367	480	492	353	177	464	194	100	181	112	173	259	365	451	421	196	133	189	136	"2,115"	"1,157"	"1,550"	800	417	361	237	138	183	19	98	782	114	280	28	52	364	74	292	292	105	39	322	210	150	"18,135"
WS	236	390	160	185	"1,096"	179	460	746	597	927	"1,027"	"1,087"	858	732	"1,422"	"1,159"	"1,374"	"1,369"	53	37	78	36	10	53	131	"2,594"	"1,964"	"1,489"	"1,210"	499	259	94	129	239	14	134	277	42	86	37	39	234	9	153	107	282	27	99	"1,611"	"1,633"	"27,663"
PC	114	71	19	15	152	33	469	233	362	131	160	163	92	69	68	50	28	33	"1,575"	460	588	135	140	217	182	696	510	994	767	349	236	91	133	83	54	15	36	351	217	34	60	206	42	34	61	31	40	441	25	29	"11,094"
AN	308	250	80	56	484	140	"1,490"	"1,167"	"1,661"	280	362	655	439	198	252	97	112	120	"2,350"	957	"1,506"	374	203	697	300	"4,810"	"3,751"	"4,051"	"3,756"	"1,284"	"1,020"	627	454	524	259	42	82	431	583	295	237	"1,549"	223	28	402	162	452	411	124	117	"40,212"
ML	220	390	211	237	"2,037"	286	467	903	844	767	816	957	941	618	"1,357"	918	"1,684"	"2,225"	194	127	178	51	37	96	142	"3,604"	"2,786"	"2,331"	"1,785"	523	381	144	194	231	35	106	627	20	68	20	19	263	10	297	159	"1,719"	18	126	520	585	"33,274"
BE	323	490	255	244	"2,278"	429	663	"1,041"	"1,134"	976	999	"1,299"	998	737	"1,243"	961	"1,508"	"1,910"	227	148	216	68	60	147	232	"4,318"	"2,983"	"2,625"	"2,373"	825	551	184	230	315	42	128	776	46	126	17	22	239	22	293	168	"2,041"	26	136	576	647	"38,295"
Grand Total	"58,816"	"82,206"	"49,153"	"44,769"	"127,655"	"49,572"	"89,534"	"110,930"	"119,865"	"69,661"	"92,998"	"70,748"	"78,420"	"61,371"	"51,937"	"34,236"	"44,007"	"48,960"	"61,448"	"57,709"	"69,562"	"39,476"	"30,356"	"62,020"	"98,496"	"370,574"	"286,196"	"316,258"	"248,055"	"149,498"	"141,143"	"76,639"	"92,058"	"97,542"	"34,659"	"29,263"	"79,665"	"14,935"	"45,415"	"30,363"	"35,721"	"115,172"	"49,261"	"31,336"	"19,821"	"29,907"	"11,468"	"39,843"	"34,522"	"37,336"	"4,120,555"
