Exit stations,Entry stations->,,SUNDAY,,,Feb 09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
PL, 	114 , 	252 , 	146 , 	190 , 	574 , 	186 , 	332 , 	244 , 	331 , 	298 , 	302 , 	248 , 	161 , 	192 , 	80 , 	59 , 	91 , 	212 , 	117 , 	158 , 	235 , 	123 , 	99 , 	311 , 	382 , 	179 , 	59 , 	116 , 	221 , 	985 ," 	1,169 ", 	642 ," 	1,269 ", 	498 , 	205 , 	91 , 	407 , 	59 , 	173 , 	133 , 	128 , 	822 , 	308 ," 	12,895 ",,,,,,,,,,,
CC, 	61 , 	98 , 	79 , 	130 , 	254 , 	121 , 	209 , 	151 , 	163 , 	125 , 	177 , 	125 , 	71 , 	69 , 	32 , 	23 , 	38 , 	82 , 	58 , 	90 , 	122 , 	100 , 	63 , 	195 , 	161 , 	70 , 	47 , 	226 , 	66 , 	520 , 	576 , 	242 , 	522 , 	187 , 	104 , 	66 , 	197 , 	29 , 	74 , 	51 , 	85 , 	405 , 	184 ," 	6,444 ",,,,,,,,,,,
16, 	41 , 	43 , 	24 , 	64 , 	135 , 	84 , 	125 , 	89 , 	66 , 	53 , 	90 , 	47 , 	22 , 	20 , 	16 , 	12 , 	12 , 	28 , 	20 , 	17 , 	24 , 	20 , 	18 , 	71 , 	73 , 	233 , 	201 ," 	1,119 ", 	588 , 	48 , 	225 , 	178 , 	359 , 	131 , 	67 , 	11 , 	36 , 	4 , 	34 , 	34 , 	70 , 	144 , 	72 ," 	4,762 ",,,,,,,,,,,
24, 	53 , 	56 , 	20 , 	56 , 	118 , 	65 , 	105 , 	71 , 	63 , 	52 , 	71 , 	54 , 	27 , 	26 , 	14 , 	9 , 	9 , 	19 , 	26 , 	20 , 	22 , 	8 , 	10 , 	73 , 	72 , 	261 , 	259 ," 	1,365 ", 	676 , 	216 , 	42 , 	134 , 	334 , 	126 , 	71 , 	13 , 	27 , 	6 , 	35 , 	26 , 	71 , 	160 , 	69 ," 	5,007 ",,,,,,,,,,,
GP, 	15 , 	23 , 	10 , 	15 , 	46 , 	21 , 	33 , 	17 , 	23 , 	21 , 	21 , 	31 , 	15 , 	10 , 	7 , 	3 , 	5 , 	11 , 	10 , 	17 , 	16 , 	7 , 	4 , 	19 , 	19 , 	129 , 	142 , 	859 , 	230 , 	183 , 	147 , 	26 , 	58 , 	35 , 	23 , 	9 , 	23 , 	4 , 	20 , 	17 , 	35 , 	78 , 	32 ," 	2,465 ",,,,,,,,,,,
BP, 	21 , 	30 , 	12 , 	12 , 	26 , 	15 , 	25 , 	17 , 	34 , 	22 , 	39 , 	31 , 	13 , 	14 , 	9 , 	7 , 	12 , 	14 , 	16 , 	13 , 	9 , 	2 , 	4 , 	13 , 	17 , 	242 , 	232 ," 	1,921 ", 	441 , 	346 , 	322 , 	61 , 	39 , 	41 , 	60 , 	10 , 	22 , 	4 , 	25 , 	29 , 	73 , 	85 , 	44 ," 	4,418 ",,,,,,,,,,,
DC, 	23 , 	27 , 	13 , 	13 , 	48 , 	9 , 	19 , 	17 , 	26 , 	16 , 	30 , 	40 , 	12 , 	16 , 	12 , 	13 , 	13 , 	28 , 	19 , 	19 , 	20 , 	11 , 	8 , 	18 , 	17 , 	83 , 	102 , 	618 , 	184 , 	131 , 	128 , 	32 , 	49 , 	12 , 	30 , 	7 , 	51 , 	7 , 	35 , 	24 , 	70 , 	145 , 	73 ," 	2,265 ",,,,,,,,,,,
CM, 	6 , 	17 , 	5 , 	3 , 	8 , 	5 , 	4 , 	7 , 	12 , 	3 , 	9 , 	18 , 	3 , 	7 , 	6 , 	5 , 	6 , 	5 , 	5 , 	7 , 	9 , 	2 , 	1 , 	3 , 	4 , 	38 , 	44 , 	257 , 	113 , 	62 , 	65 , 	27 , 	63 , 	30 , 	4 , 	2 , 	8 , 	4 , 	16 , 	11 , 	31 , 	81 , 	20 ," 	1,030 ",,,,,,,,,,,
CV, 	2 , 	5 , 	6 , 	5 , 	20 , 	3 , 	9 , 	8 , 	16 , 	36 , 	26 , 	25 , 	19 , 	43 , 	14 , 	14 , 	5 , 	9 , 	1 , 	1 , 	1 , 	1 , 	1 , 	3 , 	4 , 	53 , 	40 , 	113 , 	69 , 	11 , 	13 , 	6 , 	9 , 	9 , 	1 , 	3 , 	60 , 	2 , 	7 , 	1 , 	4 , 	17 , 	4 , 	694 ,,,,,,,,,,,
ED, 	8 , 	14 , 	7 , 	9 , 	45 , 	15 , 	17 , 	13 , 	31 , 	44 , 	59 , 	132 , 	35 , 	106 , 	32 , 	17 , 	25 , 	45 , 	4 , 	6 , 	7 , 	2 , 	1 , 	4 , 	9 , 	188 , 	138 , 	517 , 	237 , 	45 , 	30 , 	22 , 	27 , 	42 , 	8 , 	61 , 	10 , 	1 , 	6 , 	6 , 	8 , 	120 , 	17 ," 	2,168 ",,,,,,,,,,,
NC, 	1 , 	1 , 	1 , 	1 , 	6 , 	1 , 	8 , 	4 , 	7 , 	3 , 	5 , 	14 , 	2 , 	2 , 	3 , 	1 , 	1 , 	4 , 	16 , 	5 , 	16 , 	4 , 	3 , 	6 , 	4 , 	23 , 	22 , 	64 , 	32 , 	4 , 	5 , 	5 , 	5 , 	9 , 	3 , 	1 , 	2 , 	2 , 	20 , 	3 , 	3 , 	17 , 	5 , 	338 ,,,,,,,,,,,
WP, 	23 , 	31 , 	6 , 	9 , 	22 , 	15 , 	79 , 	20 , 	41 , 	10 , 	33 , 	60 , 	16 , 	25 , 	19 , 	14 , 	9 , 	24 , 	134 , 	35 , 	54 , 	15 , 	7 , 	33 , 	18 , 	77 , 	56 , 	200 , 	87 , 	39 , 	49 , 	23 , 	29 , 	37 , 	13 , 	4 , 	8 , 	21 , 	12 , 	12 , 	11 , 	64 , 	19 ," 	1,506 ",,,,,,,,,,,
SS, 	5 , 	7 , 	2 , 	3 , 	6 , 	1 , 	5 , 	3 , 	7 , 	3 , 	7 , 	13 , 	5 , 	3 , 	3 , 	4 , 	1 , 	4 , 	8 , 	7 , 	5 , 	3 , 	2 , 	3 , 	3 , 	30 , 	34 , 	153 , 	62 , 	35 , 	30 , 	17 , 	30 , 	24 , 	10 , 	2 , 	7 , 	4 , 	13 , 	2 , 	21 , 	35 , 	10 , 	629 ,,,,,,,,,,,
SB, 	7 , 	11 , 	4 , 	2 , 	8 , 	4 , 	11 , 	5 , 	11 , 	4 , 	7 , 	11 , 	3 , 	4 , 	3 , 	4 , 	3 , 	5 , 	6 , 	10 , 	10 , 	2 , 	1 , 	3 , 	4 , 	27 , 	30 , 	157 , 	91 , 	69 , 	87 , 	39 , 	96 , 	69 , 	27 , 	3 , 	5 , 	2 , 	12 , 	20 , 	2 , 	60 , 	18 , 	954 ,,,,,,,,,,,
SO, 	13 , 	35 , 	24 , 	31 , 	88 , 	21 , 	42 , 	20 , 	69 , 	14 , 	16 , 	24 , 	12 , 	10 , 	4 , 	4 , 	9 , 	23 , 	36 , 	52 , 	64 , 	27 , 	33 , 	54 , 	25 , 	203 , 	235 , 	980 , 	337 , 	109 , 	93 , 	41 , 	56 , 	77 , 	53 , 	10 , 	70 , 	7 , 	39 , 	15 , 	35 , 	12 , 	151 ," 	3,269 ",,,,,,,,,,,
MB, 	8 , 	10 , 	6 , 	9 , 	62 , 	10 , 	14 , 	10 , 	14 , 	13 , 	15 , 	21 , 	6 , 	6 , 	4 , 	2 , 	3 , 	5 , 	10 , 	10 , 	10 , 	6 , 	5 , 	17 , 	12 , 	66 , 	63 , 	366 , 	186 , 	68 , 	65 , 	35 , 	47 , 	69 , 	21 , 	3 , 	13 , 	3 , 	13 , 	13 , 	22 , 	242 , 	5 ," 	1,584 ",,,,,,,,,,,
Entries," 	1,200 "," 	1,681 "," 	1,138 "," 	1,308 "," 	3,851 "," 	1,588 "," 	2,366 "," 	1,653 "," 	2,532 "," 	1,627 "," 	2,331 "," 	2,600 "," 	1,206 "," 	1,731 "," 	1,116 ", 	696 , 	833 ," 	1,712 "," 	1,176 ", 	969 ," 	1,402 ", 	699 , 	539 ," 	1,617 "," 	1,569 "," 	4,278 "," 	3,698 "," 	15,443 "," 	7,050 "," 	4,679 "," 	4,774 "," 	2,374 "," 	4,575 "," 	2,113 ", 	924 , 	649 ," 	1,885 ", 	314 ," 	1,347 ", 	565 , 	854 ," 	4,048 "," 	1,422 "," 	100,128 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
