Exit stations,Entry stations->,,SATURDAY,,,Apr 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
LF, 	10 , 	7 , 	8 , 	12 , 	74 , 	9 , 	31 , 	30 , 	42 , 	7 , 	23 , 	50 , 	4 , 	5 , 	3 , 	3 , 	4 , 	10 , 	80 , 	32 , 	45 , 	8 , 	15 , 	72 , 	4 , 	255 , 	151 , 	264 , 	151 , 	37 , 	26 , 	13 , 	9 , 	21 , 	2 , 	4 , 	3 , 	8 , 	29 , 	2 , 	2 , 	78 , 	11 , 	4 ," 	1,653 ",,,CM line," 	33,606 "," 	4,881 "," 	6,635 ",,,,,
OR, 	7 , 	7 , 	6 , 	6 , 	50 , 	4 , 	21 , 	15 , 	29 , 	7 , 	17 , 	39 , 	2 , 	4 , 	2 , 	3 , 	3 , 	6 , 	30 , 	12 , 	35 , 	14 , 	7 , 	47 , 	3 , 	183 , 	105 , 	228 , 	97 , 	25 , 	24 , 	10 , 	9 , 	10 , 	3 , 	2 , 	3 , 	5 , 	11 , 	2 , 	2 , 	53 , 	6 , 	2 ," 	1,151 ",,,RM line," 	15,865 "," 	5,670 "," 	4,843 "," 	4,682 ",,,,
RR, 	16 , 	28 , 	28 , 	20 , 	65 , 	17 , 	57 , 	89 , 	97 , 	24 , 	37 , 	76 , 	14 , 	12 , 	10 , 	6 , 	8 , 	22 , 	48 , 	63 , 	110 , 	79 , 	55 , 	14 , 	21 , 	403 , 	288 , 	572 , 	334 , 	195 , 	123 , 	32 , 	23 , 	22 , 	7 , 	6 , 	10 , 	14 , 	25 , 	3 , 	8 , 	99 , 	25 , 	2 ," 	3,199 ",,,WP line," 	14,650 "," 	2,569 "," 	2,841 "," 	2,151 "," 	3,293 ",,,
OW, 	24 , 	33 , 	14 , 	12 , 	76 , 	43 , 	53 , 	38 , 	69 , 	17 , 	86 , 	78 , 	27 , 	41 , 	24 , 	14 , 	7 , 	13 , 	10 , 	6 , 	13 , 	4 , 	3 , 	21 , 	9 , 	461 , 	361 , 	877 , 	319 , 	196 , 	148 , 	35 , 	34 , 	29 , 	7 , 	10 , 	14 , 	2 , 	29 , 	3 , 	5 , 	43 , 	10 , 	5 ," 	3,317 ",,,FT/ED line," 	19,362 "," 	6,340 "," 	4,201 "," 	6,312 "," 	2,779 "," 	9,248 ",,
EM, 	145 , 	333 , 	229 , 	304 , 	834 , 	270 , 	485 , 	351 , 	450 , 	266 , 	361 , 	267 , 	253 , 	220 , 	143 , 	89 , 	180 , 	362 , 	262 , 	367 , 	501 , 	287 , 	230 , 	507 , 	568 , 	85 , 	44 , 	360 , 	147 , 	537 , 	694 , 	370 , 	508 , 	355 , 	107 , 	174 , 	732 , 	124 , 	249 , 	105 , 	108 , 	411 , 	261 , 	177 ," 	13,806 ",,,SFIA," 	9,664 ", 	855 ," 	4,472 "," 	1,336 "," 	1,452 "," 	1,098 ", 	860 ," 	189,194 "
MT, 	122 , 	277 , 	173 , 	239 , 	497 , 	204 , 	364 , 	300 , 	342 , 	264 , 	273 , 	183 , 	181 , 	180 , 	96 , 	84 , 	122 , 	219 , 	139 , 	208 , 	259 , 	143 , 	121 , 	347 , 	428 , 	38 , 	47 , 	73 , 	100 , 	546 , 	675 , 	483 ," 	1,234 ", 	385 , 	141 , 	119 , 	277 , 	69 , 	144 , 	104 , 	94 , 	305 , 	202 , 	93 ," 	10,888 ",,,,,,,,,,,
PL, 	241 , 	571 , 	304 , 	366 ," 	1,246 ", 	353 , 	641 , 	502 , 	579 , 	448 , 	636 , 	511 , 	340 , 	363 , 	217 , 	170 , 	226 , 	481 , 	268 , 	325 , 	460 , 	243 , 	211 , 	494 , 	858 , 	336 , 	66 , 	141 , 	242 ," 	1,623 "," 	1,788 "," 	1,054 "," 	1,975 "," 	1,160 ", 	394 , 	210 , 	669 , 	115 , 	285 , 	301 , 	296 ," 	1,316 ", 	615 , 	176 ," 	23,812 ",,,,,,,,,,,
CC, 	105 , 	196 , 	136 , 	228 , 	527 , 	231 , 	366 , 	313 , 	251 , 	213 , 	315 , 	193 , 	105 , 	98 , 	62 , 	50 , 	63 , 	166 , 	96 , 	123 , 	169 , 	118 , 	93 , 	289 , 	319 , 	141 , 	77 , 	211 , 	64 , 	681 , 	859 , 	391 , 	662 , 	370 , 	168 , 	72 , 	226 , 	40 , 	126 , 	112 , 	165 , 	400 , 	226 , 	59 ," 	9,870 ",,,,,,,,,,,
16, 	83 , 	90 , 	67 , 	127 , 	343 , 	204 , 	296 , 	242 , 	164 , 	142 , 	189 , 	87 , 	47 , 	47 , 	29 , 	23 , 	30 , 	53 , 	44 , 	46 , 	61 , 	36 , 	29 , 	208 , 	211 , 	509 , 	431 ," 	1,747 ", 	714 , 	39 , 	416 , 	360 , 	567 , 	262 , 	103 , 	27 , 	71 , 	14 , 	57 , 	72 , 	108 , 	154 , 	195 , 	23 ," 	8,760 ",,,,,,,,,,,
24, 	90 , 	98 , 	54 , 	95 , 	218 , 	132 , 	182 , 	153 , 	129 , 	87 , 	170 , 	85 , 	46 , 	47 , 	40 , 	31 , 	19 , 	43 , 	46 , 	34 , 	52 , 	28 , 	23 , 	118 , 	152 , 	573 , 	485 ," 	1,957 ", 	878 , 	393 , 	46 , 	281 , 	542 , 	253 , 	122 , 	18 , 	45 , 	10 , 	57 , 	81 , 	140 , 	131 , 	144 , 	13 ," 	8,336 ",,,,,,,,,,,
GP, 	19 , 	27 , 	17 , 	23 , 	112 , 	22 , 	41 , 	49 , 	45 , 	32 , 	37 , 	37 , 	22 , 	16 , 	10 , 	10 , 	11 , 	16 , 	23 , 	15 , 	26 , 	11 , 	9 , 	30 , 	39 , 	307 , 	305 ," 	1,191 ", 	342 , 	307 , 	279 , 	26 , 	89 , 	58 , 	42 , 	8 , 	23 , 	7 , 	19 , 	24 , 	69 , 	60 , 	57 , 	7 ," 	3,912 ",,,,,,,,,,,
