Exit stations,Entry stations->,,SATURDAY,,,May 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
WC, 	13 , 	24 , 	10 , 	25 , 	88 , 	18 , 	43 , 	59 , 	71 , 	13 , 	27 , 	101 , 	10 , 	8 , 	11 , 	4 , 	3 , 	9 , 	139 , 	77 , 	12 , 	31 , 	25 , 	87 , 	25 , 	361 , 	211 , 	334 , 	235 , 	90 , 	63 , 	24 , 	20 , 	31 , 	8 , 	3 , 	4 , 	18 , 	103 , 	7 , 	10 , 	133 , 	17 , 	2 , 	31 , 	8 , 	-   , 	-   , 	2 , 	5 ," 	2,646 ",,,,,,,,,,
LF, 	4 , 	5 , 	7 , 	6 , 	32 , 	4 , 	16 , 	38 , 	32 , 	7 , 	14 , 	49 , 	2 , 	2 , 	2 , 	1 , 	2 , 	5 , 	41 , 	22 , 	36 , 	9 , 	10 , 	42 , 	8 , 	207 , 	112 , 	176 , 	138 , 	42 , 	33 , 	11 , 	10 , 	9 , 	3 , 	1 , 	2 , 	6 , 	25 , 	2 , 	2 , 	65 , 	14 , 	-   , 	18 , 	1 , 	-   , 	-   , 	1 , 	1 ," 	1,272 ",,,,,,,,,,
OR, 	5 , 	7 , 	8 , 	5 , 	39 , 	4 , 	17 , 	30 , 	27 , 	7 , 	11 , 	42 , 	2 , 	2 , 	2 , 	1 , 	1 , 	3 , 	15 , 	19 , 	28 , 	11 , 	8 , 	29 , 	11 , 	165 , 	95 , 	160 , 	122 , 	36 , 	37 , 	12 , 	4 , 	10 , 	2 , 	2 , 	1 , 	3 , 	11 , 	3 , 	2 , 	61 , 	10 , 	2 , 	13 , 	2 , 	-   , 	-   , 	-   , 	0 ," 	1,081 ",,,,,,,,,,
RR, 	15 , 	21 , 	21 , 	14 , 	31 , 	11 , 	30 , 	79 , 	64 , 	15 , 	36 , 	60 , 	13 , 	6 , 	6 , 	7 , 	9 , 	12 , 	37 , 	57 , 	78 , 	41 , 	43 , 	17 , 	33 , 	299 , 	213 , 	372 , 	293 , 	155 , 	127 , 	36 , 	19 , 	19 , 	4 , 	4 , 	10 , 	7 , 	23 , 	5 , 	5 , 	102 , 	26 , 	3 , 	15 , 	6 , 	-   , 	-   , 	1 , 	2 ," 	2,495 ",,,,,,,,,,
OW, 	17 , 	30 , 	15 , 	11 , 	70 , 	21 , 	33 , 	41 , 	64 , 	30 , 	70 , 	75 , 	34 , 	34 , 	23 , 	15 , 	26 , 	54 , 	12 , 	16 , 	26 , 	10 , 	9 , 	38 , 	23 , 	592 , 	460 , 	847 , 	523 , 	343 , 	228 , 	64 , 	65 , 	70 , 	16 , 	12 , 	39 , 	5 , 	34 , 	10 , 	20 , 	83 , 	38 , 	16 , 	7 , 	32 , 	-   , 	-   , 	-   , 	2 ," 	4,296 ",,,,,,,,,,
EM, 	166 , 	355 , 	238 , 	298 , 	593 , 	228 , 	422 , 	459 , 	445 , 	378 , 	380 , 	328 , 	239 , 	207 , 	136 , 	82 , 	166 , 	283 , 	163 , 	334 , 	413 , 	240 , 	196 , 	384 , 	747 , 	80 , 	34 , 	235 , 	148 , 	439 , 	581 , 	329 , 	460 , 	381 , 	120 , 	159 , 	617 , 	93 , 	216 , 	92 , 	107 , 	386 , 	247 , 	191 , 	97 , 	129 , 	-   , 	-   , 	2 , 	13 ," 	13,027 ",,,,,,,,,,
MT, 	126 , 	253 , 	146 , 	184 , 	391 , 	166 , 	286 , 	309 , 	307 , 	252 , 	301 , 	219 , 	209 , 	206 , 	87 , 	56 , 	96 , 	162 , 	119 , 	202 , 	237 , 	107 , 	109 , 	266 , 	550 , 	32 , 	55 , 	45 , 	81 , 	356 , 	464 , 	319 , 	814 , 	375 , 	118 , 	100 , 	270 , 	53 , 	144 , 	72 , 	79 , 	297 , 	180 , 	112 , 	64 , 	78 , 	-   , 	-   , 	1 , 	8 ," 	9,458 ",,,,,,,,,,
PL, 	235 , 	493 , 	258 , 	242 , 	726 , 	247 , 	436 , 	432 , 	471 , 	428 , 	525 , 	395 , 	323 , 	300 , 	180 , 	132 , 	175 , 	251 , 	174 , 	298 , 	322 , 	169 , 	149 , 	339 , 	900 , 	273 , 	54 , 	114 , 	203 ," 	1,230 "," 	1,423 ", 	817 ," 	1,430 "," 	1,035 ", 	272 , 	159 , 	475 , 	88 , 	281 , 	246 , 	251 ," 	1,144 ", 	468 , 	160 , 	108 , 	114 , 	-   , 	-   , 	3 , 	18 ," 	18,959 ",,,,,,,,,,
CC, 	91 , 	222 , 	121 , 	219 , 	353 , 	193 , 	356 , 	374 , 	299 , 	247 , 	345 , 	206 , 	169 , 	117 , 	74 , 	50 , 	87 , 	138 , 	78 , 	165 , 	228 , 	136 , 	136 , 	298 , 	588 , 	128 , 	77 , 	211 , 	62 , 	437 , 	531 , 	288 , 	426 , 	394 , 	121 , 	91 , 	268 , 	35 , 	127 , 	88 , 	131 , 	420 , 	305 , 	102 , 	46 , 	76 , 	-   , 	-   , 	2 , 	7 ," 	9,655 ",,,,,,,,,,
16, 	75 , 	124 , 	78 , 	129 , 	237 , 	161 , 	256 , 	276 , 	170 , 	162 , 	201 , 	121 , 	76 , 	73 , 	42 , 	25 , 	42 , 	62 , 	47 , 	74 , 	85 , 	41 , 	43 , 	169 , 	372 , 	423 , 	327 ," 	1,261 ", 	460 , 	39 , 	208 , 	222 , 	331 , 	259 , 	88 , 	38 , 	93 , 	14 , 	53 , 	64 , 	86 , 	175 , 	211 , 	39 , 	19 , 	30 , 	-   , 	-   , 	-   , 	3 ," 	7,578 ",,,,,,,,,,
