Exit stations,Entry stations->,,SUNDAY,,,May 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
WC, 	9 , 	9 , 	14 , 	16 , 	44 , 	15 , 	35 , 	34 , 	40 , 	9 , 	15 , 	49 , 	9 , 	5 , 	7 , 	5 , 	5 , 	9 , 	93 , 	62 , 	17 , 	28 , 	17 , 	65 , 	15 , 	341 , 	170 , 	267 , 	204 , 	81 , 	52 , 	23 , 	16 , 	21 , 	8 , 	2 , 	2 , 	11 , 	69 , 	7 , 	9 , 	168 , 	13 , 	1 , 	40 , 	6 , 	-   , 	-   , 	1 , 	3 ," 	2,136 ",,,,,,,,,,,
LF, 	3 , 	3 , 	4 , 	5 , 	28 , 	5 , 	14 , 	18 , 	18 , 	5 , 	7 , 	31 , 	2 , 	1 , 	2 , 	1 , 	2 , 	2 , 	29 , 	20 , 	20 , 	7 , 	8 , 	29 , 	4 , 	189 , 	91 , 	124 , 	120 , 	35 , 	35 , 	12 , 	4 , 	10 , 	2 , 	1 , 	1 , 	2 , 	14 , 	1 , 	2 , 	84 , 	7 , 	-   , 	23 , 	2 , 	-   , 	-   , 	1 , 	0 ," 	1,022 ",,,,,,,,,,,
OR, 	4 , 	4 , 	4 , 	5 , 	16 , 	2 , 	10 , 	12 , 	20 , 	5 , 	3 , 	25 , 	0 , 	3 , 	2 , 	1 , 	1 , 	2 , 	15 , 	10 , 	17 , 	7 , 	10 , 	21 , 	4 , 	141 , 	84 , 	126 , 	103 , 	42 , 	34 , 	9 , 	6 , 	9 , 	2 , 	1 , 	3 , 	3 , 	7 , 	2 , 	4 , 	81 , 	8 , 	-   , 	14 , 	2 , 	-   , 	-   , 	1 , 	-   , 	878 ,,,,,,,,,,,
RR, 	9 , 	16 , 	14 , 	9 , 	24 , 	4 , 	24 , 	40 , 	36 , 	14 , 	24 , 	34 , 	8 , 	6 , 	5 , 	3 , 	5 , 	12 , 	27 , 	38 , 	66 , 	36 , 	28 , 	14 , 	20 , 	259 , 	184 , 	282 , 	268 , 	151 , 	94 , 	37 , 	14 , 	18 , 	5 , 	2 , 	6 , 	4 , 	16 , 	4 , 	5 , 	138 , 	23 , 	2 , 	19 , 	5 , 	-   , 	-   , 	1 , 	2 ," 	2,052 ",,,,,,,,,,,
OW, 	10 , 	17 , 	7 , 	9 , 	41 , 	21 , 	25 , 	34 , 	36 , 	27 , 	40 , 	47 , 	23 , 	28 , 	17 , 	11 , 	20 , 	17 , 	7 , 	11 , 	13 , 	8 , 	3 , 	17 , 	17 , 	444 , 	361 , 	664 , 	413 , 	331 , 	230 , 	51 , 	37 , 	61 , 	10 , 	10 , 	25 , 	3 , 	21 , 	8 , 	14 , 	114 , 	20 , 	10 , 	12 , 	15 , 	-   , 	-   , 	-   , 	2 ," 	3,353 ",,,,,,,,,,,
EM, 	126 , 	269 , 	202 , 	243 , 	489 , 	219 , 	371 , 	314 , 	333 , 	281 , 	309 , 	305 , 	205 , 	179 , 	104 , 	72 , 	146 , 	248 , 	169 , 	291 , 	397 , 	239 , 	181 , 	329 , 	616 , 	87 , 	28 , 	172 , 	140 , 	381 , 	492 , 	265 , 	308 , 	333 , 	92 , 	158 , 	592 , 	88 , 	207 , 	69 , 	86 , 	317 , 	271 , 	184 , 	108 , 	148 , 	-   , 	-   , 	2 , 	13 ," 	11,173 ",,,,,,,,,,,
MT, 	76 , 	166 , 	112 , 	133 , 	260 , 	115 , 	219 , 	207 , 	222 , 	216 , 	202 , 	185 , 	135 , 	146 , 	69 , 	41 , 	72 , 	109 , 	116 , 	156 , 	184 , 	100 , 	88 , 	180 , 	398 , 	24 , 	54 , 	42 , 	78 , 	311 , 	339 , 	229 , 	519 , 	266 , 	82 , 	97 , 	229 , 	45 , 	111 , 	56 , 	71 , 	260 , 	178 , 	82 , 	52 , 	67 , 	-   , 	-   , 	1 , 	4 ," 	7,098 ",,,,,,,,,,,
PL, 	159 , 	320 , 	155 , 	161 , 	372 , 	159 , 	314 , 	294 , 	321 , 	313 , 	370 , 	315 , 	222 , 	203 , 	96 , 	75 , 	128 , 	175 , 	131 , 	209 , 	214 , 	115 , 	96 , 	218 , 	617 , 	170 , 	32 , 	118 , 	162 ," 	1,034 "," 	1,022 ", 	556 , 	975 , 	768 , 	199 , 	116 , 	340 , 	59 , 	186 , 	160 , 	185 , 	866 , 	354 , 	105 , 	70 , 	90 , 	-   , 	-   , 	2 , 	12 ," 	13,330 ",,,,,,,,,,,
CC, 	86 , 	143 , 	107 , 	163 , 	250 , 	143 , 	255 , 	244 , 	195 , 	199 , 	232 , 	168 , 	107 , 	106 , 	53 , 	39 , 	55 , 	95 , 	66 , 	133 , 	175 , 	101 , 	101 , 	241 , 	399 , 	85 , 	65 , 	138 , 	75 , 	378 , 	492 , 	234 , 	353 , 	291 , 	94 , 	67 , 	195 , 	37 , 	87 , 	71 , 	109 , 	412 , 	282 , 	55 , 	54 , 	64 , 	-   , 	-   , 	1 , 	5 ," 	7,493 ",,,,,,,,,,,
16, 	72 , 	101 , 	75 , 	94 , 	183 , 	103 , 	204 , 	195 , 	123 , 	150 , 	181 , 	106 , 	86 , 	79 , 	37 , 	27 , 	45 , 	55 , 	36 , 	67 , 	81 , 	34 , 	51 , 	130 , 	332 , 	301 , 	266 , 	945 , 	402 , 	53 , 	179 , 	180 , 	261 , 	222 , 	72 , 	38 , 	96 , 	13 , 	50 , 	53 , 	79 , 	206 , 	170 , 	28 , 	29 , 	34 , 	-   , 	-   , 	2 , 	7 ," 	6,326 ",,,,,,,,,,,
