Exit stations,Entry stations->,,WEEKDAY,,,Aug-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,,
LF, 	10 , 	11 , 	12 , 	11 , 	100 , 	13 , 	45 , 	134 , 	201 , 	15 , 	30 , 	60 , 	8 , 	6 , 	10 , 	6 , 	5 , 	8 , 	149 , 	76 , 	107 , 	9 , 	24 , 	85 , 	4 , 	837 , 	698 , 	289 , 	213 , 	38 , 	25 , 	21 , 	14 , 	23 , 	4 , 	2 , 	2 , 	20 , 	42 , 	2 , 	7 , 	64 , 	11 ," 	3,451 ",,,CM line," 	69,933 "," 	6,828 "," 	9,418 ",,,,,,
OR, 	10 , 	16 , 	10 , 	9 , 	75 , 	12 , 	46 , 	98 , 	158 , 	14 , 	27 , 	41 , 	9 , 	7 , 	8 , 	6 , 	3 , 	8 , 	77 , 	54 , 	78 , 	29 , 	9 , 	77 , 	6 , 	700 , 	617 , 	274 , 	188 , 	34 , 	19 , 	18 , 	11 , 	19 , 	5 , 	1 , 	3 , 	10 , 	29 , 	3 , 	7 , 	54 , 	12 ," 	2,893 ",,,RM line," 	27,021 "," 	11,730 "," 	5,629 "," 	7,274 ",,,,,
RR, 	17 , 	33 , 	35 , 	25 , 	68 , 	18 , 	63 , 	146 , 	225 , 	36 , 	59 , 	72 , 	18 , 	15 , 	21 , 	11 , 	10 , 	31 , 	95 , 	113 , 	190 , 	85 , 	72 , 	13 , 	23 ," 	1,050 "," 	1,012 ", 	651 , 	476 , 	162 , 	100 , 	39 , 	42 , 	46 , 	7 , 	8 , 	15 , 	26 , 	53 , 	7 , 	12 , 	107 , 	26 ," 	5,333 ",,,WP line," 	38,949 "," 	9,611 "," 	4,136 "," 	3,421 "," 	6,466 ",,,,
OW, 	30 , 	52 , 	14 , 	15 , 	76 , 	40 , 	73 , 	55 , 	111 , 	47 , 	133 , 	123 , 	40 , 	49 , 	47 , 	22 , 	17 , 	26 , 	18 , 	15 , 	16 , 	4 , 	7 , 	19 , 	8 ," 	1,298 ", 	989 , 	681 , 	465 , 	149 , 	108 , 	33 , 	53 , 	44 , 	9 , 	13 , 	34 , 	5 , 	45 , 	10 , 	11 , 	41 , 	19 ," 	5,058 ",,,FT/ED line," 	45,937 "," 	17,135 "," 	6,045 "," 	8,866 "," 	3,997 "," 	14,891 ",,,
EM, 	310 , 	901 , 	604 , 	602 ," 	1,089 ", 	599 , 	979 , 	919 ," 	1,259 ", 	751 , 	852 , 	659 , 	771 , 	686 , 	497 , 	414 , 	683 ," 	1,449 ", 	903 ," 	1,642 "," 	1,378 ", 	904 , 	760 ," 	1,049 "," 	1,418 ", 	116 , 	157 , 	669 , 	542 ," 	1,074 "," 	1,632 "," 	1,197 "," 	1,775 "," 	1,119 ", 	675 , 	557 ," 	2,120 ", 	496 , 	782 , 	576 , 	403 , 	554 , 	754 ," 	37,277 ",,,SFIA," 	18,948 "," 	1,861 "," 	5,743 "," 	1,867 "," 	2,153 "," 	1,863 "," 	1,405 "," 	369,884 ",
MT, 	271 , 	784 , 	545 , 	538 , 	833 , 	556 , 	897 , 	667 , 	915 , 	632 , 	769 , 	477 , 	609 , 	571 , 	385 , 	356 , 	566 ," 	1,023 ", 	748 ," 	1,258 ", 	991 , 	650 , 	542 , 	881 ," 	1,042 ", 	161 , 	96 , 	282 , 	544 ," 	1,417 "," 	2,274 "," 	1,739 "," 	3,222 "," 	1,390 ", 	841 , 	451 ," 	1,344 ", 	373 , 	580 , 	665 , 	481 , 	530 , 	923 ," 	34,820 ",,,,,,,,,,,,
PL, 	293 , 	670 , 	341 , 	381 ," 	1,160 ", 	383 , 	744 , 	537 , 	872 , 	555 , 	669 , 	622 , 	414 , 	397 , 	264 , 	233 , 	296 , 	600 , 	384 , 	503 , 	512 , 	259 , 	238 , 	538 , 	648 , 	920 , 	423 , 	143 , 	545 ," 	1,719 "," 	2,261 "," 	1,454 "," 	3,196 "," 	1,277 ", 	609 , 	219 , 	874 , 	217 , 	436 , 	450 , 	361 ," 	1,677 ", 	719 ," 	30,010 ",,,,,,,,,,,,
CC, 	207 , 	540 , 	281 , 	308 , 	615 , 	363 , 	617 , 	448 , 	582 , 	379 , 	540 , 	376 , 	350 , 	343 , 	217 , 	215 , 	231 , 	388 , 	339 , 	384 , 	317 , 	186 , 	166 , 	402 , 	461 , 	518 , 	526 , 	492 , 	88 ," 	1,061 "," 	1,310 ", 	874 ," 	2,018 ", 	801 , 	460 , 	174 , 	564 , 	176 , 	389 , 	357 , 	264 , 	648 , 	393 ," 	20,367 ",,,,,,,,,,,,
16, 	102 , 	122 , 	67 , 	111 , 	310 , 	151 , 	252 , 	186 , 	244 , 	124 , 	188 , 	131 , 	80 , 	74 , 	63 , 	51 , 	36 , 	82 , 	75 , 	91 , 	72 , 	34 , 	32 , 	142 , 	149 ," 	1,028 "," 	1,254 "," 	2,030 "," 	1,113 ", 	41 , 	381 , 	394 , 	994 , 	274 , 	136 , 	43 , 	108 , 	38 , 	100 , 	95 , 	103 , 	214 , 	149 ," 	11,464 ",,Aug-08,Entries,Exits,,,,,,,,
24, 	105 , 	125 , 	41 , 	83 , 	277 , 	104 , 	178 , 	165 , 	245 , 	93 , 	160 , 	108 , 	65 , 	55 , 	43 , 	31 , 	24 , 	41 , 	56 , 	38 , 	49 , 	24 , 	22 , 	96 , 	116 ," 	1,419 "," 	1,830 "," 	2,666 "," 	1,378 ", 	389 , 	50 , 	304 , 	949 , 	272 , 	144 , 	21 , 	68 , 	26 , 	97 , 	96 , 	134 , 	205 , 	171 ," 	12,559 ",,M - SF," 	168,615 "," 	168,392 ",,,,,,,,
