Exit stations,Entry stations->,,WEEKDAY,,,Jul 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
WC, 	23 , 	28 , 	23 , 	23 , 	126 , 	23 , 	157 , 	307 , 	320 , 	26 , 	37 , 	46 , 	23 , 	14 , 	17 , 	11 , 	16 , 	13 , 	227 , 	108 , 	25 , 	56 , 	37 , 	157 , 	19 ," 	1,373 "," 	1,322 ", 	493 , 	464 , 	146 , 	66 , 	47 , 	41 , 	41 , 	16 , 	3 , 	5 , 	52 , 	129 , 	20 , 	20 , 	187 , 	26 , 	3 , 	40 , 	17 , 	-   , 	-   , 	48 , 	89 ," 	6,510 ",,,,,,,,,,,,,
LF, 	8 , 	8 , 	7 , 	8 , 	75 , 	10 , 	57 , 	160 , 	163 , 	7 , 	12 , 	24 , 	7 , 	2 , 	6 , 	1 , 	3 , 	5 , 	92 , 	48 , 	58 , 	15 , 	12 , 	68 , 	6 , 	888 , 	814 , 	247 , 	261 , 	66 , 	34 , 	19 , 	12 , 	13 , 	4 , 	1 , 	2 , 	9 , 	30 , 	7 , 	9 , 	116 , 	16 , 	1 , 	22 , 	5 , 	-   , 	-   , 	13 , 	13 ," 	3,466 ",,,,,,,,,,,,,
OR, 	9 , 	13 , 	6 , 	11 , 	63 , 	9 , 	39 , 	112 , 	124 , 	10 , 	18 , 	17 , 	8 , 	3 , 	5 , 	2 , 	3 , 	8 , 	34 , 	26 , 	40 , 	20 , 	19 , 	55 , 	3 , 	792 , 	686 , 	218 , 	232 , 	56 , 	32 , 	28 , 	11 , 	14 , 	2 , 	2 , 	3 , 	2 , 	8 , 	7 , 	6 , 	87 , 	13 , 	2 , 	13 , 	6 , 	-   , 	-   , 	10 , 	9 ," 	2,894 ",,,,,,,,,,,,,
RR, 	21 , 	30 , 	29 , 	16 , 	53 , 	12 , 	56 , 	184 , 	205 , 	32 , 	50 , 	44 , 	26 , 	10 , 	11 , 	7 , 	9 , 	12 , 	76 , 	111 , 	151 , 	63 , 	50 , 	21 , 	18 ," 	1,135 "," 	1,106 ", 	534 , 	577 , 	219 , 	98 , 	57 , 	28 , 	23 , 	4 , 	5 , 	12 , 	17 , 	32 , 	13 , 	12 , 	150 , 	26 , 	5 , 	18 , 	13 , 	-   , 	-   , 	15 , 	36 ," 	5,430 ",,,,,,,,,,,,,
OW, 	27 , 	32 , 	13 , 	13 , 	67 , 	26 , 	58 , 	66 , 	87 , 	22 , 	76 , 	81 , 	37 , 	32 , 	24 , 	11 , 	13 , 	10 , 	14 , 	13 , 	15 , 	7 , 	3 , 	19 , 	26 ," 	1,806 "," 	1,528 ", 	968 , 	870 , 	375 , 	201 , 	68 , 	52 , 	39 , 	13 , 	9 , 	28 , 	6 , 	16 , 	20 , 	23 , 	118 , 	44 , 	12 , 	9 , 	11 , 	-   , 	-   , 	8 , 	17 ," 	7,031 ",,,,,,,,,,,,,
EM, 	542 ," 	1,028 ", 	689 , 	764 ," 	1,402 ", 	961 ," 	1,424 "," 	1,897 "," 	1,677 "," 	1,200 "," 	1,175 ", 	654 ," 	1,015 ", 	860 , 	613 , 	525 ," 	1,067 "," 	1,537 "," 	1,051 "," 	2,064 "," 	1,640 "," 	1,050 ", 	938 ," 	1,305 "," 	2,223 ", 	228 , 	127 , 	503 , 	688 ," 	1,220 "," 	1,926 "," 	1,286 "," 	1,652 "," 	1,407 ", 	886 , 	658 ," 	2,492 ", 	386 , 	644 , 	663 , 	613 , 	461 ," 	1,147 ", 	991 , 	147 , 	931 , 	-   , 	-   , 	149 , 	474 ," 	48,982 ",,,,,,,,,,,,,
MT, 	536 , 	931 , 	637 , 	643 ," 	1,037 ", 	802 ," 	1,203 "," 	1,548 "," 	1,171 "," 	1,118 "," 	1,031 ", 	575 , 	867 , 	765 , 	595 , 	448 , 	830 ," 	1,148 ", 	863 ," 	1,658 "," 	1,231 ", 	737 , 	626 ," 	1,052 "," 	1,676 ", 	159 , 	197 , 	165 , 	629 ," 	1,441 "," 	2,346 "," 	1,678 "," 	2,604 "," 	1,976 "," 	1,113 ", 	567 ," 	1,835 ", 	363 , 	570 , 	820 , 	800 , 	471 ," 	1,568 ", 	673 , 	99 , 	825 , 	-   , 	-   , 	142 , 	356 ," 	45,127 ",,,,,,,,,,,,,
PL, 	420 , 	645 , 	312 , 	287 , 	621 , 	358 , 	610 , 	764 , 	744 , 	557 , 	669 , 	420 , 	468 , 	424 , 	285 , 	214 , 	296 , 	313 , 	371 , 	489 , 	366 , 	191 , 	158 , 	404 , 	870 , 	720 , 	289 , 	148 , 	310 ," 	1,163 "," 	1,489 ", 	981 ," 	1,773 "," 	1,160 ", 	532 , 	209 , 	654 , 	166 , 	316 , 	387 , 	381 ," 	1,206 ", 	623 , 	232 , 	102 , 	259 , 	-   , 	-   , 	109 , 	235 ," 	24,700 ",,,,,,,,,,,,,
CC, 	345 , 	617 , 	367 , 	376 , 	589 , 	464 , 	776 , 	859 , 	755 , 	606 , 	730 , 	356 , 	449 , 	399 , 	282 , 	235 , 	334 , 	336 , 	393 , 	535 , 	396 , 	234 , 	198 , 	507 , 	860 , 	655 , 	577 , 	280 , 	98 , 	557 , 	880 , 	735 ," 	1,204 ", 	859 , 	501 , 	241 , 	656 , 	182 , 	311 , 	378 , 	365 , 	472 , 	635 , 	253 , 	51 , 	266 , 	-   , 	-   , 	87 , 	233 ," 	22,472 ",,,,,,,,,,,,,
16, 	178 , 	219 , 	114 , 	149 , 	314 , 	204 , 	352 , 	403 , 	316 , 	218 , 	308 , 	137 , 	152 , 	142 , 	93 , 	77 , 	90 , 	95 , 	126 , 	155 , 	111 , 	56 , 	51 , 	185 , 	361 ," 	1,243 "," 	1,546 "," 	1,382 ", 	626 , 	43 , 	184 , 	314 , 	534 , 	329 , 	162 , 	69 , 	201 , 	59 , 	128 , 	148 , 	139 , 	204 , 	275 , 	76 , 	21 , 	95 , 	-   , 	-   , 	33 , 	87 ," 	12,505 ",,,,,,,,,,,,,
