Exit stations,Entry stations->,,SATURDAY,,,Aug 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
WC, 	12 , 	27 , 	15 , 	19 , 	102 , 	22 , 	60 , 	73 , 	82 , 	17 , 	23 , 	65 , 	15 , 	16 , 	10 , 	5 , 	7 , 	20 , 	208 , 	97 , 	21 , 	44 , 	31 , 	95 , 	11 , 	472 , 	229 , 	382 , 	247 , 	73 , 	50 , 	21 , 	15 , 	23 , 	8 , 	5 , 	8 , 	22 , 	136 , 	7 , 	10 , 	112 , 	15 , 	2 , 	37 , 	-   ," 	2,970 ",,,OAK," 	16,082 "," 	1,239 ",,,,,,
LF, 	5 , 	8 , 	10 , 	6 , 	53 , 	9 , 	23 , 	42 , 	40 , 	7 , 	17 , 	42 , 	5 , 	5 , 	5 , 	3 , 	2 , 	9 , 	82 , 	37 , 	37 , 	12 , 	9 , 	49 , 	4 , 	242 , 	134 , 	199 , 	141 , 	37 , 	20 , 	12 , 	6 , 	11 , 	3 , 	1 , 	3 , 	4 , 	32 , 	2 , 	4 , 	70 , 	8 , 	1 , 	13 , 	-   ," 	1,466 ",,,CM line," 	31,703 "," 	4,718 "," 	5,617 ",,,,,
OR, 	5 , 	7 , 	8 , 	5 , 	48 , 	6 , 	18 , 	27 , 	37 , 	11 , 	13 , 	38 , 	4 , 	2 , 	3 , 	1 , 	1 , 	9 , 	18 , 	18 , 	27 , 	8 , 	8 , 	43 , 	3 , 	186 , 	96 , 	169 , 	121 , 	30 , 	24 , 	8 , 	8 , 	10 , 	2 , 	1 , 	2 , 	4 , 	15 , 	2 , 	2 , 	55 , 	8 , 	1 , 	11 , 	-   ," 	1,122 ",,,RM line," 	15,112 "," 	6,159 "," 	4,035 "," 	4,436 ",,,,
RR, 	12 , 	26 , 	27 , 	17 , 	51 , 	14 , 	50 , 	116 , 	127 , 	26 , 	33 , 	63 , 	19 , 	14 , 	14 , 	5 , 	6 , 	16 , 	43 , 	61 , 	93 , 	59 , 	44 , 	25 , 	21 , 	389 , 	237 , 	446 , 	358 , 	160 , 	103 , 	31 , 	17 , 	17 , 	3 , 	5 , 	8 , 	12 , 	33 , 	3 , 	5 , 	114 , 	21 , 	5 , 	25 , 	-   ," 	2,974 ",,,WP line," 	14,406 "," 	3,021 "," 	2,548 "," 	1,890 "," 	3,138 ",,,
OW, 	15 , 	23 , 	15 , 	8 , 	59 , 	30 , 	42 , 	44 , 	63 , 	20 , 	64 , 	64 , 	29 , 	28 , 	20 , 	8 , 	7 , 	14 , 	11 , 	10 , 	8 , 	5 , 	3 , 	20 , 	14 , 	555 , 	371 , 	771 , 	414 , 	236 , 	151 , 	36 , 	39 , 	30 , 	9 , 	10 , 	13 , 	3 , 	18 , 	4 , 	13 , 	57 , 	18 , 	6 , 	5 , 	-   ," 	3,382 ",,,FT/ED line," 	18,551 "," 	6,678 "," 	3,566 "," 	5,296 "," 	2,418 "," 	9,309 ",,
EM, 	170 , 	410 , 	236 , 	351 , 	893 , 	330 , 	495 , 	437 , 	471 , 	347 , 	379 , 	250 , 	261 , 	223 , 	163 , 	99 , 	208 , 	438 , 	288 , 	428 , 	571 , 	299 , 	229 , 	507 , 	715 , 	104 , 	57 , 	414 , 	231 , 	546 , 	702 , 	410 , 	553 , 	491 , 	143 , 	175 , 	910 , 	141 , 	296 , 	143 , 	181 , 	580 , 	428 , 	283 , 	66 , 	-   ," 	16,052 ",,,SFIA," 	12,146 "," 	1,003 "," 	5,114 "," 	1,562 "," 	1,547 ", 	960 ," 	1,068 "," 	185,924 "
MT, 	130 , 	272 , 	138 , 	190 , 	463 , 	180 , 	315 , 	284 , 	300 , 	271 , 	277 , 	169 , 	158 , 	167 , 	98 , 	63 , 	115 , 	216 , 	152 , 	207 , 	234 , 	122 , 	102 , 	259 , 	431 , 	48 , 	47 , 	69 , 	112 , 	470 , 	513 , 	421 ," 	1,027 ", 	451 , 	145 , 	102 , 	311 , 	66 , 	154 , 	131 , 	121 , 	405 , 	251 , 	109 , 	41 , 	-   ," 	10,307 ",,,,,,,,,,,
PL, 	257 , 	572 , 	274 , 	286 , 	938 , 	313 , 	484 , 	417 , 	497 , 	431 , 	548 , 	304 , 	329 , 	321 , 	180 , 	113 , 	210 , 	430 , 	259 , 	281 , 	363 , 	202 , 	156 , 	415 , 	776 , 	410 , 	77 , 	139 , 	256 ," 	1,391 "," 	1,594 ", 	953 ," 	1,822 "," 	1,266 ", 	378 , 	191 , 	551 , 	118 , 	300 , 	327 , 	335 ," 	1,688 ", 	689 , 	184 , 	77 , 	-   ," 	22,102 ",,,,,,,,,,,
CC, 	91 , 	200 , 	147 , 	213 , 	516 , 	218 , 	376 , 	342 , 	254 , 	231 , 	305 , 	147 , 	120 , 	120 , 	71 , 	57 , 	86 , 	192 , 	113 , 	148 , 	213 , 	144 , 	115 , 	306 , 	436 , 	205 , 	103 , 	273 , 	57 , 	488 , 	653 , 	348 , 	576 , 	435 , 	177 , 	80 , 	256 , 	50 , 	105 , 	123 , 	189 , 	547 , 	422 , 	99 , 	35 , 	-   ," 	10,383 ",,,,,,,,,,,
16, 	66 , 	96 , 	55 , 	126 , 	288 , 	156 , 	245 , 	249 , 	143 , 	146 , 	171 , 	65 , 	56 , 	44 , 	37 , 	23 , 	39 , 	61 , 	50 , 	52 , 	64 , 	39 , 	34 , 	174 , 	257 , 	530 , 	393 ," 	1,553 ", 	567 , 	41 , 	229 , 	284 , 	498 , 	334 , 	103 , 	27 , 	73 , 	17 , 	51 , 	93 , 	116 , 	208 , 	271 , 	29 , 	17 , 	-   ," 	8,173 ",,,,,,,,,,,
