Avg Saturday Trip OD																																																			
																																																			
2024 / 04																																																			
	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday
HY	9	26	7	12	44	14	22	30	35	33	68	37	70	47	8	30	55	53	9	3	4	2	2	5	13	59	38	89	41	25	21	7	7	12	2	8	33	0	3	4	3	5	2	16	6	28	1	5	39	35	"1,120"
SH	4	8	5	2	21	7	12	14	15	18	35	23	33	26	27	7	19	26	2	1	4	2	2	5	3	51	36	64	24	14	16	2	5	6	0	5	14	1	3	2	1	3	1	13	1	31	1	4	15	31	659
UC	6	12	4	3	53	8	17	23	20	18	23	24	22	22	54	21	14	23	2	3	3	1	1	3	6	93	49	95	49	21	13	5	6	7	1	6	15	0	1	2	1	7	1	8	6	31	1	1	40	36	877
FM	2	10	7	7	64	5	41	23	18	28	34	20	23	25	52	33	24	19	6	3	3	1	1	3	6	106	59	104	48	22	15	5	7	13	2	6	16	1	1	1	2	10	4	9	7	28	1	3	58	54	"1,032"
CN	11	12	6	3	18	4	30	26	25	4	7	5	6	9	7	3	2	4	24	40	105	73	9	23	6	112	64	110	47	23	30	9	10	13	4	2	4	13	58	6	5	51	6	2	10	1	31	35	3	6	"1,110"
PH	4	7	2	6	26	7	23	25	23	4	5	6	3	2	4	2	2	4	38	19	37	21	5	27	6	137	66	112	76	28	15	10	7	12	4	1	4	7	19	3	4	56	4	1	13	4	11	21	3	9	926
WC	9	14	8	12	38	8	38	37	29	4	12	8	6	6	3	4	3	2	129	46	27	31	12	51	8	176	91	121	87	36	16	11	12	11	3	2	3	9	40	5	5	80	3	1	13	1	18	25	4	5	"1,317"
LF	3	7	4	3	13	2	19	13	14	2	7	5	1	1	2	2	0	1	85	27	36	7	6	22	2	102	46	63	49	17	12	6	3	3	2	1	1	5	12	1	1	37	4		10	2	4	11	1	3	673
OR	1	4	2	2	9	1	12	15	10	2	6	2	2	2	2	2		2	7	6	12	8	6	15	2	76	35	62	43	12	9	3	2	3	0		2	1	4	2	1	27	2	0	2		2	2		2	416
RR	7	14	17	7	13	6	40	56	43	8	20	8	9	5	5	5	3	5	23	32	56	25	18	18	11	261	137	182	164	94	54	23	14	16	2	2	2	3	12	4	5	86	6	1	7	1	3	8	4	4	"1,542"
OW	8	14	4	6	32	13	24	29	32	14	46	24	16	15	11	5	3	9	5	7	5	2	1	11	20	356	213	402	263	185	111	22	26	22	4	3	15	1	5	7	7	50	6	5	5	4	3	4	7	9	"2,081"
EM	99	242	137	171	456	147	269	290	288	191	191	82	156	143	98	68	112	129	142	176	226	134	94	326	414	97	15	111	69	249	302	164	197	194	52	100	409	46	92	51	63	233	102	128	35	46	10	72	98	129	"7,839"
MT	63	156	84	119	398	105	169	200	193	121	144	51	112	110	49	47	61	65	82	76	108	46	40	183	273	16	49	22	36	182	209	128	249	163	61	73	161	23	54	46	49	171	75	51	18	26	9	42	61	80	"5,101"
PL	99	231	120	114	412	120	212	236	265	158	210	107	152	170	81	53	75	89	88	97	116	58	61	196	405	114	15	90	63	524	623	316	525	423	135	63	190	28	94	95	130	599	134	55	30	33	19	58	57	92	"8,422"
CC	44	121	60	97	224	93	173	184	176	116	158	60	75	60	36	26	40	46	43	64	76	53	38	182	277	59	27	65	50	197	285	148	163	208	77	45	108	15	40	56	73	184	114	28	16	19	8	32	37	53	"4,622"
16	50	72	34	88	166	98	157	161	131	80	111	33	41	26	31	16	22	19	26	23	39	16	15	109	207	245	148	544	230	30	109	120	163	192	62	14	48	6	21	46	58	136	102	15	8	7	3	17	27	47	"4,161"
24	50	81	29	48	102	59	107	111	103	62	98	40	37	26	20	17	12	16	22	21	19	9	10	67	137	244	178	656	306	95	20	121	130	176	69	11	37	3	31	47	67	90	71	8	6	5	3	15	9	22	"3,717"
GP	8	20	9	14	54	14	33	37	28	19	21	6	8	7	7	3	7	5	9	11	10	6	4	28	27	149	103	329	135	116	120	16	20	34	23	5	12	4	9	14	24	61	31	4	9	3	2	5	3	9	"1,631"
BP	14	25	6	9	31	9	23	24	28	13	27	13	17	10	9	6	4	3	10	7	11	4	3	10	25	146	144	554	161	137	135	20	13	29	37	5	18	3	7	24	43	56	28	2	3	4	2	5	6	10	"1,923"
DC	16	26	8	12	47	8	23	18	24	16	24	22	18	21	10	6	8	11	11	11	9	4	1	16	30	168	145	510	221	180	183	31	42	22	20	5	19	2	15	30	61	114	44	7	5	7	1	7	7	13	"2,255"
CM	5	11	2	4	12	2	7	7	9	4	7	4	4	2	2	0	1	4	3	3	5	1	1	3	5	50	49	149	77	59	67	24	36	17	4	1	2	0	7	6	24	49	16	1	1	1	1	7	1	0	755
CV	2	4	3	3	14	3	7	5	6	26	23	12	20	19	9	6	5	4	2	1	3	0	0	1	3	86	50	82	45	17	8	4	5	7	1	7	41		0	2	2	13	1	37	3	2	1	1	4	4	601
ED	7	8	5	3	51	7	13	19	13	45	50	37	40	44	31	17	17	19	4	3	2	0	1	2	12	355	156	205	109	53	29	12	15	28	2	38	31	1	2	1	3	56	4	14	24	5	1	2	13	31	"1,637"
NC	2	2	0	1	10	1	8	7	4		1	1	0	2	1	1		2	13	3	9	5	2	5	1	39	21	30	17	7	4	2	3	3	1	0	0	5	10	1	2	12	2		3	0	4	8	2	2	247
WP	2	6	2	3	12	1	19	8	13	3	11	9	6	4	3	4	1	1	67	19	45	13	4	13	4	66	44	120	44	22	25	9	9	12	4	0	3	6	8	4	6	41	3	0	9	4	4	9	5	5	729
SS	4	8	3	1	10	2	5	6	8	3	4	4	4	1	4	2	2	0	7	2	6	2	2	3	9	44	36	107	62	50	45	16	27	28	7	2	1	3	3	10	16	25	9	1	1	1	1	6	1	0	600
SB	9	12	3	3	17	3	10	9	15	4	5	7	4	5	5	2	3	3	6	5	6	1	1	8	11	47	44	138	81	69	65	27	49	60	23	1	5	1	4	16	12	68	9	1	2	2	1	5	2	1	884
SO	26	50	33	39	116	35	43	32	57	12	16	10	15	6	4	4	6	11	36	47	55	29	22	68	57	159	117	578	161	114	70	50	46	92	44	5	38	13	27	22	42	43	189	11	7	5	2	29	6	2	"2,694"
MB	7	8	5	8	52	5	12	12	15	3	6	3	3	2	2	2	1	5	6	2	4	2	2	6	10	69	50	146	100	76	51	26	32	50	13	1	3	0	1	7	7	214	28	1	2		1	2	1	0	"1,058"
WD	1	2	2		17	4	10	6	2	18	27	14	27	27	18	13	8	8	2	3	1	0		1	7	112	45	56	38	18	8	4	5	10	2	39	13		2	2	2	14	1	7	8	4	0	0	7	9	616
OA	3	13	10	10	34	9	7	5	12	8	4	9	3	2	6	0	3	4	9	9	11	4	2	4	3	39	15	32	19	10	8	8	3	7		2	11	1	6	2	0	9	1	6	5	2	1	4	4	3	376
WS	3	8	1	6	32	3	9	11	6	14	18	15	13	13	23	19	26	22	1	1	1	2		1	5	43	20	39	21	12	8	2	5	7	1	3	6	1	2	0	1	7	0	3	1	5	1	1	26	25	487
PC	3	2	0	0	2	1	6	7	4	1	2	3	2	0	1	1		1	32	11	12	2	2	2	4	11	7	15	5	6	5	3	1	2	1	1	1	4	3	1	1	3	1	0	2	1	2	7		1	177
AN	5	6	2	2	8	3	19	16	15	2	9	10	7	4	6	4	4	3	41	18	33	8	3	10	6	72	43	65	36	15	19	7	11	12	5	1	2	6	12	5	3	37	1	0	7	1	9	9	3	6	628
ML	5	12	3	9	81	8	25	15	13	19	14	15	17	16	34	17	42	59	3	5	4	1		2	3	86	51	77	38	20	7	3	7	10	1	3	15	1	3	1	2	8		7	5	32		2	23	17	837
BE	10	19	8	10	148	17	31	31	22	25	37	23	29	18	36	27	41	63	4	6	4	4	2	6	9	116	65	111	64	36	25	7	16	18	2	5	25	1	4	2	2	8	1	9	7	33	0	5	18	19	"1,223"
Grand Total	"1,057"	"2,033"	"1,181"	"1,188"	"4,237"	"1,304"	"2,441"	"2,351"	"2,341"	"1,524"	"2,150"	"1,237"	"1,513"	"1,326"	"1,128"	705	865	"1,004"	"1,152"	956	"1,312"	671	433	"1,643"	"2,312"	"6,649"	"3,954"	"9,138"	"4,792"	"4,004"	"3,660"	"1,646"	"2,126"	"2,225"	744	605	"1,618"	254	703	585	824	"3,155"	"1,158"	596	465	531	186	561	831	"1,131"	"90,198"
