Avg Sunday Trip OD																																																			
																																																			
2024 / 04																																																			
	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday
CC	33	87	65	73	159	72	122	131	116	86	120	45	62	54	32	22	29	38	33	37	51	33	31	105	208	47	20	46	40	131	189	118	137	184	67	32	83	11	27	47	71	174	91	23	22	16	6	20	32	52	"3,524"
16	37	52	23	51	107	52	96	93	76	71	64	25	27	19	14	9	9	19	19	18	27	12	11	61	139	138	107	382	141	22	66	91	112	158	48	15	39	4	16	33	46	141	60	11	15	10	1	13	13	26	"2,835"
24	43	48	15	38	77	38	66	69	58	55	63	26	27	18	13	13	9	9	16	14	15	9	7	42	95	201	126	512	226	76	14	81	85	114	39	7	19	4	15	28	47	101	44	5	16	3	2	13	10	13	"2,677"
GP	6	17	8	10	55	9	21	23	18	15	17	7	6	9	2	2	4	6	6	4	11	6	5	18	20	115	65	240	118	95	84	11	19	24	14	3	11	3	9	13	19	73	21	4	11	1	1	9	2	5	"1,265"
BP	10	17	5	4	20	5	10	13	19	18	15	9	14	9	7	3	3	3	6	6	6	2	1	11	19	110	92	411	139	102	83	11	10	26	26	3	14	2	11	13	36	65	19	2	8	3	1	4	9	8	"1,438"
DC	15	20	6	6	36	6	14	15	14	17	17	12	13	10	9	4	6	8	11	10	12	3	1	11	23	118	107	379	209	150	124	23	28	19	14	5	28	1	9	18	47	112	39	5	9	4	3	8	9	11	"1,770"
CM	5	10	3	3	6	2	3	5	5	3	5	1	1	2	0	1	1	1	3	3	3	1	2	2	6	32	31	118	62	39	40	14	26	12	6	0	2	2	5	6	18	43	13	1	1	1	1	7	1	1	551
CV	0	3	3	1	11	3	4	4	4	30	23	9	16	13	5	2	2	6	1	1	2		0	1	2	66	38	70	37	10	7	4	6	6	0	5	32		0	0	2	9	1	31	3	2	0	1	4	3	481
ED	5	5	1	4	30	7	5	11	8	28	31	37	32	34	25	8	10	13	4	3	2	1		3	13	328	125	168	81	37	21	9	12	15	1	30	17	1	2	3	2	63	2	11	31	3	1	1	16	20	"1,310"
NC	2	2	0	1	4	1	4	4	3		0	2	1	1	1		0	0	8	3	9	4	1	3	1	27	12	28	10	6	5	1	1	2	1		0	2	6		0	12	1		2		3	7		1	178
WP	3	4	2	1	6	2	13	4	8	2	8	4	4	3	3	2	3	2	52	21	35	7	5	8	5	72	30	84	26	17	17	7	9	8	4	0	3	6	9	4	3	31	1	0	5	2	2	9	1	4	550
SS	4	8	1	1	7	2	5	3	8	3	4	1	1	2	1	2	0	0	4	1	3	2	0	2	5	29	24	93	44	39	26	15	18	19	4	1	2	1	3	4	14	25	4	1	2	1	1	3	1	1	441
SB	5	8	3	1	13	2	5	7	11	4	6	3	5	4	3	2	2	1	4	3	4	1	1	7	9	39	31	113	70	44	46	23	44	38	18	2	3	1	5	12	9	81	5	1	2	1	1	4	1	1	704
SO	21	33	22	34	74	19	37	31	37	8	16	9	8	7	4	3	6	5	34	36	49	32	25	57	43	148	121	617	154	102	58	37	41	74	30	5	45	15	22	14	35	39	124	9	8	5	3	26	4	3	"2,385"
MB	5	9	4	4	40	4	5	11	10	4	4	3	3	2	1	1	0	1	3	1	3	2	1	6	6	53	42	121	67	54	35	13	21	26	10	1	3	1	1	3	6	290	22	1	2	1	2	2	0	1	904
WD	2	4	1	1	14	2	7	5	2	14	19	18	21	24	12	7	4	6	1	1	1			1	4	89	37	58	29	16	6	3	3	6	1	27	12			0	1	24	0	5	8	2	1	1	5	9	509
OA	3	8	8	11	42	10	8	6	7	8	5	9	2	3	6	0	3	6	7	4	7	4	3	4	1	41	22	51	25	9	9	6	3	3		1	14	3	2	0	2	13	1	4	6	0	0	3	1	3	388
WS	3	8	3	3	20	2	5	7	5	12	15	17	10	9	18	19	23	19	2	1	1	1	0	1	5	34	20	32	19	8	4	2	2	6		3	4	1	2	1	0	7		4	6	4	0	1	22	20	403
PC	2	1			1	2	6	3	2	1	2	0	1	1	1	0	0	0	21	11	13	2	2	1	1	9	4	15	5	3	2	2	1	1	1	0	1	8	2	1	0	6	1	1	1	1	1	7	1	1	144
AN	3	5	1	2	5	1	17	10	9	2	5	6	4	2	3	3	4	3	31	16	29	11	3	10	6	54	31	51	24	13	12	9	6	10	6	2	2	7	10	6	2	28	2	1	6	2	10	8	3	4	492
ML	3	10	5	7	49	6	12	8	8	12	15	14	9	15	29	16	31	47	3	3	4	1	1	4	6	74	38	70	36	18	9	2	5	7		4	11	0	3	1	1	9	1	5	5	25	1	1	14	18	669
BE	9	25	7	13	83	12	20	24	9	25	36	24	28	25	35	27	32	49	9	6	8	1	1	5	6	101	55	94	54	30	19	9	11	11	2	4	30	1	5	1	2	5	1	7	6	29	0	3	12	19	"1,027"
Grand Total	768	"1,468"	825	856	"2,998"	911	"1,530"	"1,610"	"1,514"	"1,290"	"1,620"	957	"1,127"	"1,047"	796	511	599	743	893	652	998	524	326	"1,181"	"1,754"	"5,214"	"3,026"	"7,190"	"3,694"	"2,833"	"2,499"	"1,209"	"1,467"	"1,613"	528	456	"1,321"	191	536	399	643	"2,972"	798	476	566	411	150	455	694	943	"67,780"
